,city,latitude,longitude,name,category_code,number_of_employees,founded_year,geo
25,San Francisco,37.762541,-122.397224,Pownce,web,6,2007,"{'type': 'Point', 'coordinates': [-122.397224, 37.762541]}"
26,Seattle,47.617682,-122.357242,Jobster,search,,2004,"{'type': 'Point', 'coordinates': [-122.357242, 47.617682]}"
27,San Francisco,37.757758,-122.388243,Revision3,games_video,,2005,"{'type': 'Point', 'coordinates': [-122.388243, 37.757758]}"
28,Seattle,47.620716,-122.347533,ZenZui,mobile,,2007,"{'type': 'Point', 'coordinates': [-122.347533, 47.620716]}"
29,San Francisco,37.780716,-122.393913,CastTV,games_video,0,2006,"{'type': 'Point', 'coordinates': [-122.393913, 37.780716]}"
30,Cambridge,42.375392,-71.118487,iSkoot,mobile,,2005,"{'type': 'Point', 'coordinates': [-71.118487, 42.375392]}"
31,San Francisco,37.780134,-122.396744,iSkoot,mobile,,2005,"{'type': 'Point', 'coordinates': [-122.396744, 37.780134]}"
32,Vancouver,49.263588,-123.138565,EQO,mobile,0,2006,"{'type': 'Point', 'coordinates': [-123.138565, 49.263588]}"
33,San Mateo,37.421621,-122.137444,Funny Or Die,games_video,,2007,"{'type': 'Point', 'coordinates': [-122.137444, 37.421621]}"
34,San Francisco,37.793819,-122.395089,blinkx,games_video,,2004,"{'type': 'Point', 'coordinates': [-122.395089, 37.793819]}"
35,Paris,48.862825,2.381836,Zlio,ecommerce,,2005,"{'type': 'Point', 'coordinates': [2.381836, 48.862825]}"
36,Santa Clara,37.380101,-121.940749,Spotplex,web,3,2007,"{'type': 'Point', 'coordinates': [-121.940749, 37.380101]}"
37,Los Angeles,34.052187,-118.243425,TripUp,web,,2006,"{'type': 'Point', 'coordinates': [-118.243425, 34.052187]}"
38,San Francisco,37.786183,-122.402195,Yelp,search,800,2004,"{'type': 'Point', 'coordinates': [-122.402195, 37.786183]}"
39,Amsterdam,52.3745228,4.8948623,Wakoopa,web,8,2007,"{'type': 'Point', 'coordinates': [4.8948623, 52.3745228]}"
40,Amsterdam,52.375595,4.908556,Fleck,web,3,2006,"{'type': 'Point', 'coordinates': [4.908556, 52.375595]}"
41,Redwood City,37.476479,-122.221717,Coghead,web,21,2003,"{'type': 'Point', 'coordinates': [-122.221717, 37.476479]}"
42,San Francisco,37.775196,-122.419204,Zooomr,web,,2006,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}"
43,New York,40.7516611,-73.9843328,KickApps,enterprise,72,2004,"{'type': 'Point', 'coordinates': [-73.9843328, 40.7516611]}"
44,San Francisco,37.7891086,-122.4016144,KickApps,enterprise,72,2004,"{'type': 'Point', 'coordinates': [-122.4016144, 37.7891086]}"
45,London,51.5094731,-0.1356235,KickApps,enterprise,72,2004,"{'type': 'Point', 'coordinates': [-0.1356235, 51.5094731]}"
46,Santa Monica,34.0126379,-118.495155,ConVerdge,enterprise,25,2006,"{'type': 'Point', 'coordinates': [-118.495155, 34.0126379]}"
47,San Francisco,37.758113,-122.414689,Pageflakes,web,20,2006,"{'type': 'Point', 'coordinates': [-122.414689, 37.758113]}"
48,San Francisco,37.7791761,-122.4058887,Instructables,web,,2005,"{'type': 'Point', 'coordinates': [-122.4058887, 37.7791761]}"
49,Seattle,47.620982,-122.359397,Farecast,search,26,2003,"{'type': 'Point', 'coordinates': [-122.359397, 47.620982]}"
50,Redwood City,37.484619,-122.206893,RockYou,games_video,106,2005,"{'type': 'Point', 'coordinates': [-122.206893, 37.484619]}"
51,Sunnyvale,37.36965,-122.02421,coRank,web,0,2007,"{'type': 'Point', 'coordinates': [-122.02421, 37.36965]}"
52,San Francisco,37.789268,-122.395184,Swivel,search,1,2005,"{'type': 'Point', 'coordinates': [-122.395184, 37.789268]}"
53,San Francisco,37.781427,-122.392144,Slide,public_relations,64,2005,"{'type': 'Point', 'coordinates': [-122.392144, 37.781427]}"
54,San Francisco,37.782103,-122.401116,Bebo,web,0,2005,"{'type': 'Point', 'coordinates': [-122.401116, 37.782103]}"
55,Seattle,47.614653,-122.338793,TripHub,web,6,2005,"{'type': 'Point', 'coordinates': [-122.338793, 47.614653]}"
56,Chicago,41.889474,-87.628912,FeedBurner,web,,2004,"{'type': 'Point', 'coordinates': [-87.628912, 41.889474]}"
57,Sunnyvale,37.418531,-122.025485,Flickr,web,36,2004,"{'type': 'Point', 'coordinates': [-122.025485, 37.418531]}"
58,Paris,48.856667,2.350987,TVtrip,web,,2007,"{'type': 'Point', 'coordinates': [2.350987, 48.856667]}"
59,Mountain View,37.391502,-122.073463,TheFind,ecommerce,,2006,"{'type': 'Point', 'coordinates': [-122.073463, 37.391502]}"
60,San Francisco,37.762681,-122.400909,Dogster,web,,2004,"{'type': 'Point', 'coordinates': [-122.400909, 37.762681]}"
61,Dallas,32.914662,-96.771281,CornerWorld,public_relations,,2002,"{'type': 'Point', 'coordinates': [-96.771281, 32.914662]}"
62,Paris,48.866323,2.381514,WatZatSong,web,3,2006,"{'type': 'Point', 'coordinates': [2.381514, 48.866323]}"
63,San Francisco,37.779026,-122.40184,adBrite,advertising,50,2003,"{'type': 'Point', 'coordinates': [-122.40184, 37.779026]}"
64,San Francisco,37.796396,-122.404869,Loomia,web,,2004,"{'type': 'Point', 'coordinates': [-122.404869, 37.796396]}"
65,Seattle,47.618599,-122.358484,Newsvine,web,8,2005,"{'type': 'Point', 'coordinates': [-122.358484, 47.618599]}"
66,Berkeley,37.870744,-122.269259,FlickIM,mobile,,2006,"{'type': 'Point', 'coordinates': [-122.269259, 37.870744]}"
67,Palo Alto,37.437328,-122.159928,Terabitz,web,12,2006,"{'type': 'Point', 'coordinates': [-122.159928, 37.437328]}"
68,San Francisco,37.779507,-122.39071,Eventbrite,web,200,2006,"{'type': 'Point', 'coordinates': [-122.39071, 37.779507]}"
69,Seattle,47.615313,-122.323408,iLike,games_video,28,2002,"{'type': 'Point', 'coordinates': [-122.323408, 47.615313]}"
70,Mountain View,37.423258,-122.073635,LinkedIn,social,4800,2003,"{'type': 'Point', 'coordinates': [-122.073635, 37.423258]}"
71,Boston,42.350571,-71.076869,Carbonite,network_hosting,68,2006,"{'type': 'Point', 'coordinates': [-71.076869, 42.350571]}"
72,Sunnyvale,37.382162,-122.036301,Kaboodle,ecommerce,,2005,"{'type': 'Point', 'coordinates': [-122.036301, 37.382162]}"
73,Mountain View,37.40047,-122.072981,Wink,search,,2004,"{'type': 'Point', 'coordinates': [-122.072981, 37.40047]}"
74,San Francisco,37.775196,-122.419204,Seesmic,web,13,2007,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}"
75,San Francisco,37.7618242,-122.3985871,Techmeme,web,11,2004,"{'type': 'Point', 'coordinates': [-122.3985871, 37.7618242]}"
76,San Mateo,37.553121,-122.301534,Zvents,web,55,2005,"{'type': 'Point', 'coordinates': [-122.301534, 37.553121]}"
77,San Mateo,37.563585,-122.324621,Oodle,social,,2004,"{'type': 'Point', 'coordinates': [-122.324621, 37.563585]}"
78,Redwood City,37.479952,-122.178557,oDesk,web,120,2005,"{'type': 'Point', 'coordinates': [-122.178557, 37.479952]}"
79,Sunnyvale,37.4219165,-122.0780632,Simply Hired,search,100,2004,"{'type': 'Point', 'coordinates': [-122.0780632, 37.4219165]}"
80,San Francisco,37.76785,-122.392861,Ujogo,web,6,2007,"{'type': 'Point', 'coordinates': [-122.392861, 37.76785]}"
81,,34.070436,-118.350486,stylediary,web,0,2004,"{'type': 'Point', 'coordinates': [-118.350486, 34.070436]}"
82,Palo Alto,37.451958,-122.116026,ooma,hardware,47,2004,"{'type': 'Point', 'coordinates': [-122.116026, 37.451958]}"
83,San Francisco,37.782263,-122.392142,GoingOn,software,40,2008,"{'type': 'Point', 'coordinates': [-122.392142, 37.782263]}"
84,San Francisco,37.766909,-122.406676,Flixster,web,75,2006,"{'type': 'Point', 'coordinates': [-122.406676, 37.766909]}"
85,Dallas,32.781078,-96.797111,IceRocket,search,,2004,"{'type': 'Point', 'coordinates': [-96.797111, 32.781078]}"
86,Palo Alto,37.442949,-122.1615,Socialtext,enterprise,50,2002,"{'type': 'Point', 'coordinates': [-122.1615, 37.442949]}"
87,Austin,30.407545,-97.717667,Bazaarvoice,software,600,2005,"{'type': 'Point', 'coordinates': [-97.717667, 30.407545]}"
88,London,51.5170385,-0.1394759,spigit,software,120,2006,"{'type': 'Point', 'coordinates': [-0.1394759, 51.5170385]}"
89,San Francisco,37.788668,-122.400558,hi5,games_video,100,2003,"{'type': 'Point', 'coordinates': [-122.400558, 37.788668]}"
90,San Francisco,37.7753,-122.4186,Tagged,social,162,2004,"{'type': 'Point', 'coordinates': [-122.4186, 37.7753]}"
91,Boston,42.340889,-71.051931,ScanScout,advertising,40,2005,"{'type': 'Point', 'coordinates': [-71.051931, 42.340889]}"
92,New York,40.739833,-73.993158,ScanScout,advertising,40,2005,"{'type': 'Point', 'coordinates': [-73.993158, 40.739833]}"
93,Los Angeles,34.050887,-118.459995,ScanScout,advertising,40,2005,"{'type': 'Point', 'coordinates': [-118.459995, 34.050887]}"
94,Palo Alto,37.774321,-122.415375,Cerado,web,,2002,"{'type': 'Point', 'coordinates': [-122.415375, 37.774321]}"
95,Menlo Park,37.451026,-122.18676,Jaxtr,mobile,30,2005,"{'type': 'Point', 'coordinates': [-122.18676, 37.451026]}"
96,San Mateo,37.55909,-122.321836,Respectance,web,15,2006,"{'type': 'Point', 'coordinates': [-122.321836, 37.55909]}"
97,Mountain View,37.419819,-122.090188,PeerMe,games_video,,2004,"{'type': 'Point', 'coordinates': [-122.090188, 37.419819]}"
98,San Francisco,37.775196,-122.419204,Grockit,social,25,2006,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}"
99,San Francisco,37.792394,-122.402349,Kiptronic,advertising,20,2005,"{'type': 'Point', 'coordinates': [-122.402349, 37.792394]}"
100,San Francisco,37.779392,-122.417928,FeVote,web,1,2007,"{'type': 'Point', 'coordinates': [-122.417928, 37.779392]}"
101,Menlo Park,37.4484914,-122.1802812,Zenfolio,network_hosting,,2005,"{'type': 'Point', 'coordinates': [-122.1802812, 37.4484914]}"
102,San Mateo,37.4858654,-122.2262606,Vuze,games_video,20,2005,"{'type': 'Point', 'coordinates': [-122.2262606, 37.4858654]}"
103,Sunnyvale,37.386376,-121.991471,Phonezoo,web,,2006,"{'type': 'Point', 'coordinates': [-121.991471, 37.386376]}"
104,Sunnyvale,37.384651,-121.992132,Relationals,web,,2007,"{'type': 'Point', 'coordinates': [-121.992132, 37.384651]}"
105,Seattle,47.620716,-122.347533,Wishpot,ecommerce,10,2006,"{'type': 'Point', 'coordinates': [-122.347533, 47.620716]}"
106,,37.269175,-119.306607,Nononina,web,,2007,"{'type': 'Point', 'coordinates': [-119.306607, 37.269175]}"
107,Palo Alto,37.408256,-122.154176,PodTech,games_video,,2005,"{'type': 'Point', 'coordinates': [-122.154176, 37.408256]}"
108,Vancouver,49.283376,-123.103986,NowPublic,web,,2005,"{'type': 'Point', 'coordinates': [-123.103986, 49.283376]}"
109,New York,40.736416,-73.993302,Forbes,web,,2007,"{'type': 'Point', 'coordinates': [-73.993302, 40.736416]}"
110,Boulder,40.010492,-105.276843,IntenseDebate,web,4,2006,"{'type': 'Point', 'coordinates': [-105.276843, 40.010492]}"
111,San Francisco,37.780883,-122.395257,Reddit,web,,2005,"{'type': 'Point', 'coordinates': [-122.395257, 37.780883]}"
112,Seattle,47.61968,-122.356756,BuddyTV,games_video,20,2005,"{'type': 'Point', 'coordinates': [-122.356756, 47.61968]}"
113,Mountain View,37.400465,-122.073003,Buxfer,web,4,2007,"{'type': 'Point', 'coordinates': [-122.073003, 37.400465]}"
114,Sunnyvale,37.368594,-122.034021,Retrevo,web,,2006,"{'type': 'Point', 'coordinates': [-122.034021, 37.368594]}"
115,Mountain View,37.386665,-122.084171,Tangler,web,,2006,"{'type': 'Point', 'coordinates': [-122.084171, 37.386665]}"
116,Redwood City,37.524729,-122.258037,obopay,mobile,,2005,"{'type': 'Point', 'coordinates': [-122.258037, 37.524729]}"
117,Seattle,47.620716,-122.347533,BillMonk,web,,2005,"{'type': 'Point', 'coordinates': [-122.347533, 47.620716]}"
118,San Mateo,37.553743,-122.300246,TalkPlus,web,,2004,"{'type': 'Point', 'coordinates': [-122.300246, 37.553743]}"
119,Los Angeles,34.052187,-118.243425,WebbAlert,games_video,,2007,"{'type': 'Point', 'coordinates': [-118.243425, 34.052187]}"
120,Mountain View,37.3927975,-122.0727749,IMVU,web,150,2004,"{'type': 'Point', 'coordinates': [-122.0727749, 37.3927975]}"
121,Atlanta,33.916374,-84.350663,Kaneva,web,,2004,"{'type': 'Point', 'coordinates': [-84.350663, 33.916374]}"
122,Boulder,40.010492,-105.276843,madKast,web,,2007,"{'type': 'Point', 'coordinates': [-105.276843, 40.010492]}"
123,San Diego,32.877656,-117.210595,Nirvanix,enterprise,,2007,"{'type': 'Point', 'coordinates': [-117.210595, 32.877656]}"
124,Santa Monica,34.01676,-118.495566,Userplane,enterprise,10,2001,"{'type': 'Point', 'coordinates': [-118.495566, 34.01676]}"
125,San Francisco,40.270666,-74.761403,Scrybe,enterprise,20,2007,"{'type': 'Point', 'coordinates': [-74.761403, 40.270666]}"
126,San Francisco,51.500152,-0.126236,Viagogo,ecommerce,,2005,"{'type': 'Point', 'coordinates': [-0.126236, 51.500152]}"
127,,31.046051,34.851612,KnockaTV,games_video,,2007,"{'type': 'Point', 'coordinates': [34.851612, 31.046051]}"
128,San Diego,32.964294,-117.265191,GreatCall,mobile,,2005,"{'type': 'Point', 'coordinates': [-117.265191, 32.964294]}"
129,Los Angeles,34.052187,-118.243425,Revver,games_video,,2004,"{'type': 'Point', 'coordinates': [-118.243425, 34.052187]}"
130,San Diego,32.720656,-117.167831,MindTouch,enterprise,0,2004,"{'type': 'Point', 'coordinates': [-117.167831, 32.720656]}"
131,San Francisco,37.767575,-122.411157,Kontera,advertising,,2003,"{'type': 'Point', 'coordinates': [-122.411157, 37.767575]}"
132,Menlo Park,37.491356,-122.228843,Flock,web,40,2005,"{'type': 'Point', 'coordinates': [-122.228843, 37.491356]}"
133,,37.09024,-95.712891,Splashup,web,,2007,"{'type': 'Point', 'coordinates': [-95.712891, 37.09024]}"
134,London,51.785428,-1.197534,Curverider,network_hosting,5,2005,"{'type': 'Point', 'coordinates': [-1.197534, 51.785428]}"
135,San Francisco,37.437328,-122.159928,Metacafe,games_video,,2003,"{'type': 'Point', 'coordinates': [-122.159928, 37.437328]}"
136,Vancouver,49.263588,-123.138565,SomethingSimpler,search,,2007,"{'type': 'Point', 'coordinates': [-123.138565, 49.263588]}"
137,San Francisco,37.795555,-122.400729,Weebly,web,70,2006,"{'type': 'Point', 'coordinates': [-122.400729, 37.795555]}"
138,San Francisco,37.786942,-122.401245,Kongregate,games_video,20,2006,"{'type': 'Point', 'coordinates': [-122.401245, 37.786942]}"
139,San Francisco,37.790998,-122.394668,BitTorrent,web,80,2004,"{'type': 'Point', 'coordinates': [-122.394668, 37.790998]}"
140,San Francisco,37.781557,-122.407959,DanceJam,games_video,0,2007,"{'type': 'Point', 'coordinates': [-122.407959, 37.781557]}"
141,Boulder,40.010492,-105.276843,EventVue,public_relations,,2007,"{'type': 'Point', 'coordinates': [-105.276843, 40.010492]}"
142,San Mateo,37.5646055,-122.3229235,Inneractive,advertising,0,2007,"{'type': 'Point', 'coordinates': [-122.3229235, 37.5646055]}"
143,Boulder,40.0186731,-105.2762236,Socialthing,network_hosting,5,2007,"{'type': 'Point', 'coordinates': [-105.2762236, 40.0186731]}"
144,San Francisco,37.383779,-122.007172,Eventbee,web,,2003,"{'type': 'Point', 'coordinates': [-122.007172, 37.383779]}"
145,Palo Alto,37.437328,-122.159928,Bountii,ecommerce,,2007,"{'type': 'Point', 'coordinates': [-122.159928, 37.437328]}"
146,Palo Alto,40.010492,-105.276843,Filtrbox,web,14,2007,"{'type': 'Point', 'coordinates': [-105.276843, 40.010492]}"
147,Boston,42.35892,-71.05781,Cloudant,enterprise,70,2008,"{'type': 'Point', 'coordinates': [-71.05781, 42.35892]}"
148,San Francisco,37.775196,-122.419204,Fathom Online,advertising,,2002,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}"
149,Los Angeles,34.062262,-118.348198,SuicideGirls,web,,2001,"{'type': 'Point', 'coordinates': [-118.348198, 34.062262]}"
150,San Francisco,37.789488,-122.397593,Zivity,network_hosting,16,2007,"{'type': 'Point', 'coordinates': [-122.397593, 37.789488]}"
151,San Jose,37.32052,-121.948399,BlueLithium,advertising,135,2004,"{'type': 'Point', 'coordinates': [-121.948399, 37.32052]}"
152,San Diego,32.71537,-117.163353,Goowy,web,,2004,"{'type': 'Point', 'coordinates': [-117.163353, 32.71537]}"
153,Palo Alto,37.444554,-122.164511,A9,web,,2003,"{'type': 'Point', 'coordinates': [-122.164511, 37.444554]}"
154,Palo Alto,37.427235,-122.145783,Doostang,web,10,2005,"{'type': 'Point', 'coordinates': [-122.145783, 37.427235]}"
155,Santa Monica,34.018275,-118.495025,Docstoc,web,40,2007,"{'type': 'Point', 'coordinates': [-118.495025, 34.018275]}"
156,Cambridge,42.372912,-71.118999,Vlingo,mobile,,2006,"{'type': 'Point', 'coordinates': [-71.118999, 42.372912]}"
157,San Francisco,37.782263,-122.392142,Mevio,games_video,,2004,"{'type': 'Point', 'coordinates': [-122.392142, 37.782263]}"
158,Seattle,47.610332,-122.339859,Shock Treatment Management,web,,2004,"{'type': 'Point', 'coordinates': [-122.339859, 47.610332]}"
159,San Francisco,37.09024,-95.712891,DotBlu,web,,2007,"{'type': 'Point', 'coordinates': [-95.712891, 37.09024]}"
160,Austin,30.268735,-97.745209,Pluck,web,,2003,"{'type': 'Point', 'coordinates': [-97.745209, 30.268735]}"
161,Denver,39.755092,-104.988123,NewsGator,enterprise,90,2004,"{'type': 'Point', 'coordinates': [-104.988123, 39.755092]}"
162,Santa Monica,34.017373,-118.453218,sezmi,games_video,,2007,"{'type': 'Point', 'coordinates': [-118.453218, 34.017373]}"
163,Mountain View,37.40047,-122.072981,BitPass,web,,2002,"{'type': 'Point', 'coordinates': [-122.072981, 37.40047]}"
164,San Francisco,37.710677,-122.39323,Greystripe,advertising,90,2005,"{'type': 'Point', 'coordinates': [-122.39323, 37.710677]}"
165,San Francisco,37.766909,-122.406676,Trulia,search,500,2004,"{'type': 'Point', 'coordinates': [-122.406676, 37.766909]}"
166,Los Angeles,33.979033,-118.423423,DAVE Networks,web,,2003,"{'type': 'Point', 'coordinates': [-118.423423, 33.979033]}"
167,Mountain View,37.09024,-95.712891,Netblue,web,,2002,"{'type': 'Point', 'coordinates': [-95.712891, 37.09024]}"
168,New York,37.09024,-95.712891,SpiralFrog,games_video,15,2004,"{'type': 'Point', 'coordinates': [-95.712891, 37.09024]}"
169,Boston,42.350274,-71.058768,MocoSpace,games_video,25,2005,"{'type': 'Point', 'coordinates': [-71.058768, 42.350274]}"
170,Cambridge,42.358822,-71.104329,LocaModa,advertising,0,2007,"{'type': 'Point', 'coordinates': [-71.104329, 42.358822]}"
171,Bellevue,47.597965,-122.151158,YouBeQB,games_video,8,2008,"{'type': 'Point', 'coordinates': [-122.151158, 47.597965]}"
172,New York,40.748901,-73.992463,Adknowledge,advertising,300,2004,"{'type': 'Point', 'coordinates': [-73.992463, 40.748901]}"
173,San Francisco,37.78866,-122.401406,Adknowledge,advertising,300,2004,"{'type': 'Point', 'coordinates': [-122.401406, 37.78866]}"
174,Toronto,43.6474554,-79.3953743,Adknowledge,advertising,300,2004,"{'type': 'Point', 'coordinates': [-79.3953743, 43.6474554]}"
175,Munich,48.1635092,11.5582609,Adknowledge,advertising,300,2004,"{'type': 'Point', 'coordinates': [11.5582609, 48.1635092]}"
176,Paris,48.8506065,2.3797825,Adknowledge,advertising,300,2004,"{'type': 'Point', 'coordinates': [2.3797825, 48.8506065]}"
177,Bangalore,12.971606,77.594376,Minglebox,web,,2006,"{'type': 'Point', 'coordinates': [77.594376, 12.971606]}"
178,New York,40.7445343,-73.9874008,BBE,advertising,,2004,"{'type': 'Point', 'coordinates': [-73.9874008, 40.7445343]}"
179,New York,40.757929,-73.985506,Fotolog,network_hosting,40,2002,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}"
180,Santa Monica,34.0184659,-118.49863,Xfire,games_video,,2002,"{'type': 'Point', 'coordinates': [-118.49863, 34.0184659]}"
181,Palo Alto,37.433414,-122.128772,SnapTell,software,,2006,"{'type': 'Point', 'coordinates': [-122.128772, 37.433414]}"
182,London,51.5192042,-0.1626103,Wonga,web,,2007,"{'type': 'Point', 'coordinates': [-0.1626103, 51.5192042]}"
183,San Francisco,37.775196,-122.419204,MicroPlace,web,15,2007,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}"
184,Seattle,47.5999337,-122.3276962,EyeJot,web,5,2007,"{'type': 'Point', 'coordinates': [-122.3276962, 47.5999337]}"
185,Toronto,43.799511,-79.348037,Contrastream,games_video,1,2007,"{'type': 'Point', 'coordinates': [-79.348037, 43.799511]}"
186,Austin,30.386601,-97.753739,Spiceworks,hardware,,2006,"{'type': 'Point', 'coordinates': [-97.753739, 30.386601]}"
187,New York,40.643438,-73.886452,Daylife,enterprise,25,2006,"{'type': 'Point', 'coordinates': [-73.886452, 40.643438]}"
188,Palo Alto,37.42746,-122.143915,SayNow,mobile,20,2005,"{'type': 'Point', 'coordinates': [-122.143915, 37.42746]}"
189,San Francisco,37.781265,-122.393229,Crunchyroll,games_video,50,2008,"{'type': 'Point', 'coordinates': [-122.393229, 37.781265]}"
190,Santa Clara,37.387114,-121.973228,PixSense,mobile,35,2003,"{'type': 'Point', 'coordinates': [-121.973228, 37.387114]}"
191,New York,40.74406,-74.004592,Behance,web,30,2006,"{'type': 'Point', 'coordinates': [-74.004592, 40.74406]}"
192,Los Angeles,34.031276,-118.456806,hulu,games_video,153,2007,"{'type': 'Point', 'coordinates': [-118.456806, 34.031276]}"
193,Mountain View,37.563585,-122.324621,AdMob,advertising,,2006,"{'type': 'Point', 'coordinates': [-122.324621, 37.563585]}"
194,San Mateo,37.453687,-122.228595,Attributor,software,0,2005,"{'type': 'Point', 'coordinates': [-122.228595, 37.453687]}"
195,New York,40.775537,-73.981709,OrganizedWisdom,other,18,2007,"{'type': 'Point', 'coordinates': [-73.981709, 40.775537]}"
196,London,51.5195795,-0.1065551,FAROO,search,5,2007,"{'type': 'Point', 'coordinates': [-0.1065551, 51.5195795]}"
197,New York,40.753202,-73.986771,LineUpNewYork,web,0,2007,"{'type': 'Point', 'coordinates': [-73.986771, 40.753202]}"
198,Seattle,47.611012,-122.333523,MediaPops,games_video,0,2007,"{'type': 'Point', 'coordinates': [-122.333523, 47.611012]}"
199,Austin,30.34497,-97.770174,GotStatus,web,0,2007,"{'type': 'Point', 'coordinates': [-97.770174, 30.34497]}"
200,New York,40.757929,-73.985506,PeekYou,search,20,2012,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}"
201,Boulder,40.048078,-105.38018,Kerpoof,web,0,2006,"{'type': 'Point', 'coordinates': [-105.38018, 40.048078]}"
202,Los Angeles,34.0481711,-118.4419012,Orgoo,web,15,2005,"{'type': 'Point', 'coordinates': [-118.4419012, 34.0481711]}"
203,San Francisco,37.793742,-122.421341,YourStreet,web,6,2006,"{'type': 'Point', 'coordinates': [-122.421341, 37.793742]}"
204,Toronto,43.6501051,-79.396805,Zerofootprint,software,,2005,"{'type': 'Point', 'coordinates': [-79.396805, 43.6501051]}"
205,Portland,45.5241278,-122.675448,Vidoop,software,30,2006,"{'type': 'Point', 'coordinates': [-122.675448, 45.5241278]}"
206,Montreal,45.506643,-73.566634,SmartHippo,ecommerce,10,2005,"{'type': 'Point', 'coordinates': [-73.566634, 45.506643]}"
207,Seattle,47.6015315,-122.335943,FlowPlay,games_video,30,2006,"{'type': 'Point', 'coordinates': [-122.335943, 47.6015315]}"
208,,56.130366,-106.346771,IPartee,web,,2007,"{'type': 'Point', 'coordinates': [-106.346771, 56.130366]}"
209,Chicago,41.892774,-87.621982,PrepMe,other,,2001,"{'type': 'Point', 'coordinates': [-87.621982, 41.892774]}"
210,Paris,48.8558532,2.3365754,Trivop,web,,2007,"{'type': 'Point', 'coordinates': [2.3365754, 48.8558532]}"
211,Chicago,41.890376,-87.63406,Viewpoints,web,15,2006,"{'type': 'Point', 'coordinates': [-87.63406, 41.890376]}"
212,Boulder,40.010492,-105.276843,Iggli,web,,2007,"{'type': 'Point', 'coordinates': [-105.276843, 40.010492]}"
