,city,country_code,latitude,longitude,name,geopoint,geoquery,category_code,founded_year,founded_year_bins,number_of_employees,number_of_employees_bins,segment,type
0,San Francisco,USA,37.764726,-122.394523,Digg,"[-122.394523, 37.764726]","{'type': 'Point', 'coordinates': [-122.394523, 37.764726]}",news,2004,q1,60,q4,others,mid company
1,West Hollywood,USA,34.090368,-118.393064,Geni,"[-118.393064, 34.090368]","{'type': 'Point', 'coordinates': [-118.393064, 34.090368]}",web,2006,q2,18,q3,tech,small company
2,San Francisco,USA,37.789634,-122.404052,Scribd,"[-122.404052, 37.789634]","{'type': 'Point', 'coordinates': [-122.404052, 37.789634]}",news,2007,q2,50,q4,others,mid company
3,San Francisco,USA,37.7768052,-122.4169244,Twitter,"[-122.4169244, 37.7768052]","{'type': 'Point', 'coordinates': [-122.4169244, 37.7768052]}",social,2006,q2,1300,q4,others,big company
4,Menlo Park,USA,37.41605,-122.151801,Facebook,"[-122.151801, 37.41605]","{'type': 'Point', 'coordinates': [-122.151801, 37.41605]}",social,2004,q1,5299,q4,others,big company
5,Dublin,IRL,53.344104,-6.267494,Facebook,"[-6.267494, 53.344104]","{'type': 'Point', 'coordinates': [-6.267494, 53.344104]}",social,2004,q1,5299,q4,others,big company
6,New York,USA,40.7557162,-73.9792469,Facebook,"[-73.9792469, 40.7557162]","{'type': 'Point', 'coordinates': [-73.9792469, 40.7557162]}",social,2004,q1,5299,q4,others,big company
7,Sunnyvale,USA,37.387845,-122.055197,Plaxo,"[-122.055197, 37.387845]","{'type': 'Point', 'coordinates': [-122.055197, 37.387845]}",web,2002,q1,50,q4,tech,mid company
8,New York City,USA,40.757929,-73.985506,MeetMoi,"[-73.985506, 40.757929]","{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",social,2007,q2,15,q3,others,small company
9,San Jose,USA,37.295005,-121.930035,eBay,"[-121.930035, 37.295005]","{'type': 'Point', 'coordinates': [-121.930035, 37.295005]}",web,1995,q1,15000,q4,tech,big company
10,San Francisco,USA,37.778613,-122.395289,Powerset,"[-122.395289, 37.778613]","{'type': 'Point', 'coordinates': [-122.395289, 37.778613]}",search,2006,q2,60,q4,tech,mid company
11,San Francisco,USA,37.779558,-122.393041,Technorati,"[-122.393041, 37.779558]","{'type': 'Point', 'coordinates': [-122.393041, 37.779558]}",advertising,2002,q1,35,q4,others,mid company
12,Culver City,USA,34.017606,-118.487267,Mahalo,"[-118.487267, 34.017606]","{'type': 'Point', 'coordinates': [-118.487267, 34.017606]}",web,2007,q2,40,q4,tech,mid company
13,San Francisco,USA,37.788482,-122.409173,Kyte,"[-122.409173, 37.788482]","{'type': 'Point', 'coordinates': [-122.409173, 37.788482]}",games_video,2006,q2,40,q4,gaming,mid company
14,New York,USA,37.480999,-122.173887,Jingle Networks,"[-122.173887, 37.480999]","{'type': 'Point', 'coordinates': [-122.173887, 37.480999]}",mobile,2005,q2,35,q4,tech,mid company
15,New York,USA,40.72604,-73.995722,Meetup,"[-73.995722, 40.72604]","{'type': 'Point', 'coordinates': [-73.995722, 40.72604]}",web,2002,q1,75,q4,tech,mid company
16,Tempe,USA,33.429859,-111.938739,LifeLock,"[-111.938739, 33.429859]","{'type': 'Point', 'coordinates': [-111.938739, 33.429859]}",security,2005,q2,644,q4,others,big company
17,Mountain View,USA,37.390056,-122.067692,SmugMug,"[-122.067692, 37.390056]","{'type': 'Point', 'coordinates': [-122.067692, 37.390056]}",photo_video,2002,q1,62,q4,others,mid company
18,San Jose,USA,37.408802,-121.95377,Cisco,"[-121.95377, 37.408802]","{'type': 'Point', 'coordinates': [-121.95377, 37.408802]}",network_hosting,1984,q1,63000,q4,others,big company
19,Mountain View,USA,37.4233896,-122.0899512,Jajah,"[-122.0899512, 37.4233896]","{'type': 'Point', 'coordinates': [-122.0899512, 37.4233896]}",mobile,2005,q2,110,q4,tech,mid company
20,Sunnyvale,USA,37.418531,-122.025485,Yahoo!,"[-122.025485, 37.418531]","{'type': 'Point', 'coordinates': [-122.025485, 37.418531]}",web,1994,q1,13600,q4,tech,big company
21,New York,USA,40.726155,-73.995625,Livestream,"[-73.995625, 40.726155]","{'type': 'Point', 'coordinates': [-73.995625, 40.726155]}",games_video,2007,q2,120,q4,gaming,mid company
22,New York,USA,40.722655,-73.99873,Pando Networks,"[-73.99873, 40.722655]","{'type': 'Point', 'coordinates': [-73.99873, 40.722655]}",games_video,2004,q1,23,q3,gaming,small company
23,NYC,USA,40.801358,-74.3372,AdaptiveBlue,"[-74.3372, 40.801358]","{'type': 'Point', 'coordinates': [-74.3372, 40.801358]}",games_video,2007,q2,15,q3,gaming,small company
24,Stamford,USA,41.049051,-73.563878,Ikan,"[-73.563878, 41.049051]","{'type': 'Point', 'coordinates': [-73.563878, 41.049051]}",web,2003,q1,5,q2,tech,small company
25,Fremont,USA,37.465645,-121.932202,GrandCentral,"[-121.932202, 37.465645]","{'type': 'Point', 'coordinates': [-121.932202, 37.465645]}",mobile,2006,q2,3,q1,tech,small company
26,San Francisco,USA,37.762541,-122.397224,Pownce,"[-122.397224, 37.762541]","{'type': 'Point', 'coordinates': [-122.397224, 37.762541]}",web,2007,q2,6,q2,tech,small company
27,SCHUYLER LAKE,USA,37.488336,-122.217964,Spock,"[-122.217964, 37.488336]","{'type': 'Point', 'coordinates': [-122.217964, 37.488336]}",search,2006,q2,30,q4,tech,mid company
28,Santa Clara,USA,37.384949,-121.96761,Intel,"[-121.96761, 37.384949]","{'type': 'Point', 'coordinates': [-121.96761, 37.384949]}",hardware,1968,q1,86300,q4,others,big company
29,Encino,USA,37.269175,-119.306607,SodaHead,"[-119.306607, 37.269175]","{'type': 'Point', 'coordinates': [-119.306607, 37.269175]}",web,2007,q2,25,q3,tech,small company
30,Agoura Hills,USA,34.155211,-118.756618,ClipBlast!,"[-118.756618, 34.155211]","{'type': 'Point', 'coordinates': [-118.756618, 34.155211]}",web,2005,q2,15,q3,tech,small company
31,San Francisco,USA,37.786183,-122.402195,Yelp,"[-122.402195, 37.786183]","{'type': 'Point', 'coordinates': [-122.402195, 37.786183]}",search,2004,q1,800,q4,tech,big company
32,Amsterdam,NLD,52.3745228,4.8948623,Wakoopa,"[4.8948623, 52.3745228]","{'type': 'Point', 'coordinates': [4.8948623, 52.3745228]}",web,2007,q2,8,q2,tech,small company
33,Southampton,GBR,50.9444598,-1.3610845,Zamzar,"[-1.3610845, 50.9444598]","{'type': 'Point', 'coordinates': [-1.3610845, 50.9444598]}",web,2006,q2,2,q1,tech,small company
34,Santa Clara,USA,37.374998,-121.977853,SideStep,"[-121.977853, 37.374998]","{'type': 'Point', 'coordinates': [-121.977853, 37.374998]}",web,1999,q1,75,q4,tech,mid company
35,Seattle,USA,47.620982,-122.359397,Farecast,"[-122.359397, 47.620982]","{'type': 'Point', 'coordinates': [-122.359397, 47.620982]}",search,2003,q1,26,q4,tech,mid company
36,New York,USA,40.7516611,-73.9843328,KickApps,"[-73.9843328, 40.7516611]","{'type': 'Point', 'coordinates': [-73.9843328, 40.7516611]}",enterprise,2004,q1,72,q4,others,mid company
37,Venice,USA,33.991101,-118.468707,KickApps,"[-118.468707, 33.991101]","{'type': 'Point', 'coordinates': [-118.468707, 33.991101]}",enterprise,2004,q1,72,q4,others,mid company
38,San Francisco,USA,37.7891086,-122.4016144,KickApps,"[-122.4016144, 37.7891086]","{'type': 'Point', 'coordinates': [-122.4016144, 37.7891086]}",enterprise,2004,q1,72,q4,others,mid company
39,London,GBR,51.5094731,-0.1356235,KickApps,"[-0.1356235, 51.5094731]","{'type': 'Point', 'coordinates': [-0.1356235, 51.5094731]}",enterprise,2004,q1,72,q4,others,mid company
40,Santa Monica,USA,34.0126379,-118.495155,ConVerdge,"[-118.495155, 34.0126379]","{'type': 'Point', 'coordinates': [-118.495155, 34.0126379]}",enterprise,2006,q2,25,q3,others,small company
41,Redwood City,USA,37.484619,-122.206893,RockYou,"[-122.206893, 37.484619]","{'type': 'Point', 'coordinates': [-122.206893, 37.484619]}",games_video,2005,q2,106,q4,gaming,mid company
42,San Francisco,USA,37.758113,-122.414689,Pageflakes,"[-122.414689, 37.758113]","{'type': 'Point', 'coordinates': [-122.414689, 37.758113]}",web,2006,q2,20,q3,tech,small company
43,Mill Valley,USA,37.90077,-122.511687,CrowdVine,"[-122.511687, 37.90077]","{'type': 'Point', 'coordinates': [-122.511687, 37.90077]}",web,2007,q2,10,q3,tech,small company
44,Sunnyvale,USA,37.418531,-122.025485,Flickr,"[-122.025485, 37.418531]","{'type': 'Point', 'coordinates': [-122.025485, 37.418531]}",web,2004,q1,36,q4,tech,mid company
45,Paris,FRA,48.866323,2.381514,WatZatSong,"[2.381514, 48.866323]","{'type': 'Point', 'coordinates': [2.381514, 48.866323]}",web,2006,q2,3,q1,tech,small company
46,Seattle,USA,47.618599,-122.358484,Newsvine,"[-122.358484, 47.618599]","{'type': 'Point', 'coordinates': [-122.358484, 47.618599]}",web,2005,q2,8,q2,tech,small company
47,Palo Alto,USA,37.437328,-122.159928,Terabitz,"[-122.159928, 37.437328]","{'type': 'Point', 'coordinates': [-122.159928, 37.437328]}",web,2006,q2,12,q3,tech,small company
48,Luxembourg,LUX,49.6026778,6.1329985,Jamendo,"[6.1329985, 49.6026778]","{'type': 'Point', 'coordinates': [6.1329985, 49.6026778]}",other,2005,q2,20,q3,others,small company
49,Mountain View,USA,37.423258,-122.073635,LinkedIn,"[-122.073635, 37.423258]","{'type': 'Point', 'coordinates': [-122.073635, 37.423258]}",social,2003,q1,4800,q4,others,big company
50,San Francisco,USA,37.779507,-122.39071,Eventbrite,"[-122.39071, 37.779507]","{'type': 'Point', 'coordinates': [-122.39071, 37.779507]}",web,2006,q2,200,q4,tech,mid company
51,Los Altos,USA,37.425801,-122.143701,Box,"[-122.143701, 37.425801]","{'type': 'Point', 'coordinates': [-122.143701, 37.425801]}",network_hosting,2005,q2,950,q4,others,big company
52,Seattle,USA,47.615313,-122.323408,iLike,"[-122.323408, 47.615313]","{'type': 'Point', 'coordinates': [-122.323408, 47.615313]}",games_video,2002,q1,28,q4,gaming,mid company
53,Foster City,USA,37.561877,-122.325248,Conduit,"[-122.325248, 37.561877]","{'type': 'Point', 'coordinates': [-122.325248, 37.561877]}",advertising,2005,q2,215,q4,others,mid company
54,San Francisco,USA,37.775196,-122.419204,GigaOM,"[-122.419204, 37.775196]","{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",news,2006,q2,75,q4,others,mid company
55,New York,USA,40.7143528,-74.0059731,GigaOM,"[-74.0059731, 40.7143528]","{'type': 'Point', 'coordinates': [-74.0059731, 40.7143528]}",news,2006,q2,75,q4,others,mid company
56,San Francisco,USA,37.775196,-122.419204,Seesmic,"[-122.419204, 37.775196]","{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",web,2007,q2,13,q3,tech,small company
57,Cincinnati,USA,39.06685,-84.351532,TechnologyGuide,"[-84.351532, 39.06685]","{'type': 'Point', 'coordinates': [-84.351532, 39.06685]}",web,2001,q1,10,q3,tech,small company
58,San Mateo,USA,37.553121,-122.301534,Zvents,"[-122.301534, 37.553121]","{'type': 'Point', 'coordinates': [-122.301534, 37.553121]}",web,2005,q2,55,q4,tech,mid company
59,San Francisco,USA,37.7618242,-122.3985871,Techmeme,"[-122.3985871, 37.7618242]","{'type': 'Point', 'coordinates': [-122.3985871, 37.7618242]}",web,2004,q1,11,q3,tech,small company
60,Boston,USA,42.350571,-71.076869,Carbonite,"[-71.076869, 42.350571]","{'type': 'Point', 'coordinates': [-71.076869, 42.350571]}",network_hosting,2006,q2,68,q4,others,mid company
61,Seattle,USA,47.603122,-122.333253,Redfin,"[-122.333253, 47.603122]","{'type': 'Point', 'coordinates': [-122.333253, 47.603122]}",real_estate,2004,q1,100,q4,others,mid company
62,Sunnyvale,USA,37.4219165,-122.0780632,Simply Hired,"[-122.0780632, 37.4219165]","{'type': 'Point', 'coordinates': [-122.0780632, 37.4219165]}",search,2004,q1,100,q4,tech,mid company
63,Redwood City,USA,37.479952,-122.178557,oDesk,"[-122.178557, 37.479952]","{'type': 'Point', 'coordinates': [-122.178557, 37.479952]}",web,2005,q2,120,q4,tech,mid company
64,Palo Alto,USA,37.451958,-122.116026,ooma,"[-122.116026, 37.451958]","{'type': 'Point', 'coordinates': [-122.116026, 37.451958]}",hardware,2004,q1,47,q4,others,mid company
65,Vashon,USA,47.420728,-122.450942,Recipezaar,"[-122.450942, 47.420728]","{'type': 'Point', 'coordinates': [-122.450942, 47.420728]}",web,1999,q1,5,q2,tech,small company
66,Los Gatos,USA,37.255118,-121.96533,ictv,"[-121.96533, 37.255118]","{'type': 'Point', 'coordinates': [-121.96533, 37.255118]}",web,1994,q1,80,q4,tech,mid company
67,San Francisco,USA,37.782263,-122.392142,GoingOn,"[-122.392142, 37.782263]","{'type': 'Point', 'coordinates': [-122.392142, 37.782263]}",software,2008,q3,40,q4,tech,mid company
68,Arlington,USA,38.897428,-77.072003,MyPublicInfo,"[-77.072003, 38.897428]","{'type': 'Point', 'coordinates': [-77.072003, 38.897428]}",web,2004,q1,7,q2,tech,small company
69,San Francisco,USA,37.766909,-122.406676,Flixster,"[-122.406676, 37.766909]","{'type': 'Point', 'coordinates': [-122.406676, 37.766909]}",web,2006,q2,75,q4,tech,mid company
70,Pittsburgh,USA,40.437985,-80.004195,Spreadshirt,"[-80.004195, 40.437985]","{'type': 'Point', 'coordinates': [-80.004195, 40.437985]}",advertising,2002,q1,230,q4,others,mid company
71,Palo Alto,USA,37.442949,-122.1615,Socialtext,"[-122.1615, 37.442949]","{'type': 'Point', 'coordinates': [-122.1615, 37.442949]}",enterprise,2002,q1,50,q4,others,mid company
72,Pleasanton,USA,37.6637279,-121.8731805,spigit,"[-121.8731805, 37.6637279]","{'type': 'Point', 'coordinates': [-121.8731805, 37.6637279]}",software,2006,q2,120,q4,tech,mid company
73,Reston,USA,38.9590083,-77.3592746,spigit,"[-77.3592746, 38.9590083]","{'type': 'Point', 'coordinates': [-77.3592746, 38.9590083]}",software,2006,q2,120,q4,tech,mid company
74,London,GBR,51.5170385,-0.1394759,spigit,"[-0.1394759, 51.5170385]","{'type': 'Point', 'coordinates': [-0.1394759, 51.5170385]}",software,2006,q2,120,q4,tech,mid company
75,San Jose,USA,37.321798,-121.979453,LiveWorld,"[-121.979453, 37.321798]","{'type': 'Point', 'coordinates': [-121.979453, 37.321798]}",web,1996,q1,75,q4,tech,mid company
76,London,GBR,51.500152,-0.126236,LiveWorld,"[-0.126236, 51.500152]","{'type': 'Point', 'coordinates': [-0.126236, 51.500152]}",web,1996,q1,75,q4,tech,mid company
77,Bagnacavallo,ITA,44.418166,11.978686,Clipperz,"[11.978686, 44.418166]","{'type': 'Point', 'coordinates': [11.978686, 44.418166]}",web,2005,q2,2,q1,tech,small company
78,Austin,USA,30.407545,-97.717667,Bazaarvoice,"[-97.717667, 30.407545]","{'type': 'Point', 'coordinates': [-97.717667, 30.407545]}",software,2005,q2,600,q4,tech,big company
79,San Francisco,USA,37.788668,-122.400558,hi5,"[-122.400558, 37.788668]","{'type': 'Point', 'coordinates': [-122.400558, 37.788668]}",games_video,2003,q1,100,q4,gaming,mid company
80,Chicago,USA,41.8892178,-87.6557234,37signals,"[-87.6557234, 41.8892178]","{'type': 'Point', 'coordinates': [-87.6557234, 41.8892178]}",public_relations,1999,q1,20,q3,others,small company
81,San Francisco,USA,37.7753,-122.4186,Tagged,"[-122.4186, 37.7753]","{'type': 'Point', 'coordinates': [-122.4186, 37.7753]}",social,2004,q1,162,q4,others,mid company
82,Menlo Park,USA,37.451026,-122.18676,Jaxtr,"[-122.18676, 37.451026]","{'type': 'Point', 'coordinates': [-122.18676, 37.451026]}",mobile,2005,q2,30,q4,tech,mid company
83,Boston,USA,42.340889,-71.051931,ScanScout,"[-71.051931, 42.340889]","{'type': 'Point', 'coordinates': [-71.051931, 42.340889]}",advertising,2005,q2,40,q4,others,mid company
84,New York,USA,40.739833,-73.993158,ScanScout,"[-73.993158, 40.739833]","{'type': 'Point', 'coordinates': [-73.993158, 40.739833]}",advertising,2005,q2,40,q4,others,mid company
85,Los Angeles,USA,34.050887,-118.459995,ScanScout,"[-118.459995, 34.050887]","{'type': 'Point', 'coordinates': [-118.459995, 34.050887]}",advertising,2005,q2,40,q4,others,mid company
86,San Mateo,USA,37.536172,-122.327323,NetSuite,"[-122.327323, 37.536172]","{'type': 'Point', 'coordinates': [-122.327323, 37.536172]}",enterprise,1998,q1,1600,q4,others,big company
87,Montecito,USA,34.42071,-119.641821,introNetworks,"[-119.641821, 34.42071]","{'type': 'Point', 'coordinates': [-119.641821, 34.42071]}",web,2003,q1,11,q3,tech,small company
88,San Mateo,USA,37.55909,-122.321836,Respectance,"[-122.321836, 37.55909]","{'type': 'Point', 'coordinates': [-122.321836, 37.55909]}",web,2006,q2,15,q3,tech,small company
89,Oklahoma City,USA,35.612679,-97.5736,ONEsite,"[-97.5736, 35.612679]","{'type': 'Point', 'coordinates': [-97.5736, 35.612679]}",other,2005,q2,50,q4,others,mid company
90,Greensburg,USA,40.30305,-79.462703,Wallhogs,"[-79.462703, 40.30305]","{'type': 'Point', 'coordinates': [-79.462703, 40.30305]}",public_relations,2006,q2,52,q4,others,mid company
91,Amsterdam,NLD,52.3640933,4.8919457,eBuddy,"[4.8919457, 52.3640933]","{'type': 'Point', 'coordinates': [4.8919457, 52.3640933]}",messaging,2003,q1,90,q4,others,mid company
92,San Francisco,USA,37.787683,-122.410943,eBuddy,"[-122.410943, 37.787683]","{'type': 'Point', 'coordinates': [-122.410943, 37.787683]}",messaging,2003,q1,90,q4,others,mid company
93,Singapore,SGP,51.500152,-0.126236,eBuddy,"[-0.126236, 51.500152]","{'type': 'Point', 'coordinates': [-0.126236, 51.500152]}",messaging,2003,q1,90,q4,others,mid company
94,San Francisco,USA,37.792394,-122.402349,Kiptronic,"[-122.402349, 37.792394]","{'type': 'Point', 'coordinates': [-122.402349, 37.792394]}",advertising,2005,q2,20,q3,others,small company
95,San Francisco,USA,37.775196,-122.419204,Grockit,"[-122.419204, 37.775196]","{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",social,2006,q2,25,q3,others,small company
96,San Francisco,USA,37.779392,-122.417928,FeVote,"[-122.417928, 37.779392]","{'type': 'Point', 'coordinates': [-122.417928, 37.779392]}",web,2007,q2,1,,tech,small company
97,San Mateo,USA,37.4858654,-122.2262606,Vuze,"[-122.2262606, 37.4858654]","{'type': 'Point', 'coordinates': [-122.2262606, 37.4858654]}",games_video,2005,q2,20,q3,gaming,small company
98,Phoenix,USA,33.429864,-111.944967,JumpBox,"[-111.944967, 33.429864]","{'type': 'Point', 'coordinates': [-111.944967, 33.429864]}",software,2006,q2,5,q2,tech,small company
99,Sunnyvale,USA,37.384651,-121.992132,LongJump,"[-121.992132, 37.384651]","{'type': 'Point', 'coordinates': [-121.992132, 37.384651]}",enterprise,1999,q1,30,q4,others,mid company
100,Seattle,USA,47.620716,-122.347533,Wishpot,"[-122.347533, 47.620716]","{'type': 'Point', 'coordinates': [-122.347533, 47.620716]}",ecommerce,2006,q2,10,q3,others,small company
101,San Jose,USA,37.320052,-121.877636,Adobe Systems,"[-121.877636, 37.320052]","{'type': 'Point', 'coordinates': [-121.877636, 37.320052]}",software,1982,q1,7173,q4,tech,big company
102,Seattle,USA,47.5999337,-122.3276962,PayScale,"[-122.3276962, 47.5999337]","{'type': 'Point', 'coordinates': [-122.3276962, 47.5999337]}",software,1999,q1,130,q4,tech,mid company
103,New York,USA,40.757929,-73.985506,Clipmarks,"[-73.985506, 40.757929]","{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",photo_video,2003,q1,10,q3,others,small company
104,Sydney,AUS,-33.722577,150.981801,Boonex,"[150.981801, -33.722577]","{'type': 'Point', 'coordinates': [150.981801, -33.722577]}",software,2000,q1,16,q3,tech,small company
105,Boulder,USA,40.010492,-105.276843,IntenseDebate,"[-105.276843, 40.010492]","{'type': 'Point', 'coordinates': [-105.276843, 40.010492]}",web,2006,q2,4,q2,tech,small company
106,Nacka Strand,SWE,59.3167843,18.1582777,Rebtel,"[18.1582777, 59.3167843]","{'type': 'Point', 'coordinates': [18.1582777, 59.3167843]}",mobile,2006,q2,75,q4,tech,mid company
107,Seattle,USA,47.61968,-122.356756,BuddyTV,"[-122.356756, 47.61968]","{'type': 'Point', 'coordinates': [-122.356756, 47.61968]}",games_video,2005,q2,20,q3,gaming,small company
108,Mountain View,USA,37.400465,-122.073003,Buxfer,"[-122.073003, 37.400465]","{'type': 'Point', 'coordinates': [-122.073003, 37.400465]}",web,2007,q2,4,q2,tech,small company
109,San Diego,USA,37.09024,-95.712891,Sony,"[-95.712891, 37.09024]","{'type': 'Point', 'coordinates': [-95.712891, 37.09024]}",hardware,1946,q1,180500,q4,others,big company
110,Sao Paulo,BRA,-23.558584,-46.679287,boo-box,"[-46.679287, -23.558584]","{'type': 'Point', 'coordinates': [-46.679287, -23.558584]}",advertising,2007,q2,50,q4,others,mid company
111,Campbell,USA,37.288974,-121.935688,Hightail,"[-121.935688, 37.288974]","{'type': 'Point', 'coordinates': [-121.935688, 37.288974]}",network_hosting,2004,q1,200,q4,others,mid company
112,San Jose,USA,37.294465,-121.927696,PayPal,"[-121.927696, 37.294465]","{'type': 'Point', 'coordinates': [-121.927696, 37.294465]}",finance,1998,q1,300000,q4,others,big company
113,Burbank,USA,34.156802,-118.324987,The Walt Disney Company,"[-118.324987, 34.156802]","{'type': 'Point', 'coordinates': [-118.324987, 34.156802]}",games_video,1923,q1,25000,q4,gaming,big company
114,Tel Aviv,ISR,32.0554,34.7595,MeeMix,"[34.7595, 32.0554]","{'type': 'Point', 'coordinates': [34.7595, 32.0554]}",web,2006,q2,9,q3,tech,small company
115,New York,USA,40.7311317,-73.9919311,AOL,"[-73.9919311, 40.7311317]","{'type': 'Point', 'coordinates': [-73.9919311, 40.7311317]}",web,1985,q1,8000,q4,tech,big company
116,Mountain View,USA,37.3927975,-122.0727749,IMVU,"[-122.0727749, 37.3927975]","{'type': 'Point', 'coordinates': [-122.0727749, 37.3927975]}",web,2004,q1,150,q4,tech,mid company
117,Santa Monica,USA,34.01676,-118.495566,Userplane,"[-118.495566, 34.01676]","{'type': 'Point', 'coordinates': [-118.495566, 34.01676]}",enterprise,2001,q1,10,q3,others,small company
118,Bowling Green,USA,37.018244,-86.463026,Outdoorzy,"[-86.463026, 37.018244]","{'type': 'Point', 'coordinates': [-86.463026, 37.018244]}",network_hosting,2006,q2,2,q1,others,small company
119,San Francisco,USA,40.270666,-74.761403,Scrybe,"[-74.761403, 40.270666]","{'type': 'Point', 'coordinates': [-74.761403, 40.270666]}",enterprise,2007,q2,20,q3,others,small company
120,Woodbridge,CAN,43.76969,-79.549577,Webkinz,"[-79.549577, 43.76969]","{'type': 'Point', 'coordinates': [-79.549577, 43.76969]}",web,2005,q2,8657,q4,tech,big company
121,San francisco,USA,38.0729365,-122.1879633,Echo,"[-122.1879633, 38.0729365]","{'type': 'Point', 'coordinates': [-122.1879633, 38.0729365]}",enterprise,2007,q2,50,q4,others,mid company
122,Menlo Park,USA,37.491356,-122.228843,Flock,"[-122.228843, 37.491356]","{'type': 'Point', 'coordinates': [-122.228843, 37.491356]}",web,2005,q2,40,q4,tech,mid company
123,Cambridge,USA,42.364059,-71.08907,Akamai Technologies,"[-71.08907, 42.364059]","{'type': 'Point', 'coordinates': [-71.08907, 42.364059]}",enterprise,1998,q1,1000,q4,others,big company
124,London,GBR,51.785428,-1.197534,Curverider,"[-1.197534, 51.785428]","{'type': 'Point', 'coordinates': [-1.197534, 51.785428]}",network_hosting,2005,q2,5,q2,others,small company
125,New York,USA,40.740251,-73.990004,SelectMinds,"[-73.990004, 40.740251]","{'type': 'Point', 'coordinates': [-73.990004, 40.740251]}",network_hosting,2000,q1,55,q4,others,mid company
126,Boulder,USA,40.010492,-105.276843,Techstars,"[-105.276843, 40.010492]","{'type': 'Point', 'coordinates': [-105.276843, 40.010492]}",finance,2006,q2,30,q4,others,mid company
127,San Francisco,USA,37.795555,-122.400729,Weebly,"[-122.400729, 37.795555]","{'type': 'Point', 'coordinates': [-122.400729, 37.795555]}",web,2006,q2,70,q4,tech,mid company
128,San Francisco,USA,37.790998,-122.394668,BitTorrent,"[-122.394668, 37.790998]","{'type': 'Point', 'coordinates': [-122.394668, 37.790998]}",web,2004,q1,80,q4,tech,mid company
129,Tokyo,JPN,35.6725213,139.7326754,Six Apart,"[139.7326754, 35.6725213]","{'type': 'Point', 'coordinates': [139.7326754, 35.6725213]}",enterprise,2001,q1,50,q4,others,mid company
130,San Francisco,USA,37.786942,-122.401245,Kongregate,"[-122.401245, 37.786942]","{'type': 'Point', 'coordinates': [-122.401245, 37.786942]}",games_video,2006,q2,20,q3,gaming,small company
131,Boulder,USA,40.0186731,-105.2762236,Socialthing,"[-105.2762236, 40.0186731]","{'type': 'Point', 'coordinates': [-105.2762236, 40.0186731]}",network_hosting,2007,q2,5,q2,others,small company
132,Palo Alto,USA,40.010492,-105.276843,Filtrbox,"[-105.276843, 40.010492]","{'type': 'Point', 'coordinates': [-105.276843, 40.010492]}",web,2007,q2,14,q3,tech,small company
133,Boston,USA,42.35892,-71.05781,Cloudant,"[-71.05781, 42.35892]","{'type': 'Point', 'coordinates': [-71.05781, 42.35892]}",enterprise,2008,q3,70,q4,others,mid company
134,San Francisco,USA,37.789488,-122.397593,Zivity,"[-122.397593, 37.789488]","{'type': 'Point', 'coordinates': [-122.397593, 37.789488]}",network_hosting,2007,q2,16,q3,others,small company
135,San Jose,USA,37.32052,-121.948399,BlueLithium,"[-121.948399, 37.32052]","{'type': 'Point', 'coordinates': [-121.948399, 37.32052]}",advertising,2004,q1,135,q4,others,mid company
136,Palo Alto,USA,37.427235,-122.145783,Doostang,"[-122.145783, 37.427235]","{'type': 'Point', 'coordinates': [-122.145783, 37.427235]}",web,2005,q2,10,q3,tech,small company
137,Waltham,USA,42.38532,-71.207055,ZoomInfo,"[-71.207055, 42.38532]","{'type': 'Point', 'coordinates': [-71.207055, 42.38532]}",search,2000,q1,800,q4,tech,big company
138,Santa Clara,USA,37.394791,-121.955463,Sun Microsystems,"[-121.955463, 37.394791]","{'type': 'Point', 'coordinates': [-121.955463, 37.394791]}",enterprise,1982,q1,33350,q4,others,big company
139,Beverly Hills,USA,34.076061,-118.372953,MySpace,"[-118.372953, 34.076061]","{'type': 'Point', 'coordinates': [-118.372953, 34.076061]}",network_hosting,2003,q1,800,q4,others,big company
140,Denver,USA,39.755092,-104.988123,NewsGator,"[-104.988123, 39.755092]","{'type': 'Point', 'coordinates': [-104.988123, 39.755092]}",enterprise,2004,q1,90,q4,others,mid company
141,Santa Monica,USA,34.018275,-118.495025,Docstoc,"[-118.495025, 34.018275]","{'type': 'Point', 'coordinates': [-118.495025, 34.018275]}",web,2007,q2,40,q4,tech,mid company
142,Kuala Lumpur,MYS,3.139003,101.686855,Friendster,"[101.686855, 3.139003]","{'type': 'Point', 'coordinates': [101.686855, 3.139003]}",web,2001,q1,70,q4,tech,mid company
143,San Francisco,USA,37.710677,-122.39323,Greystripe,"[-122.39323, 37.710677]","{'type': 'Point', 'coordinates': [-122.39323, 37.710677]}",advertising,2005,q2,90,q4,others,mid company
144,San Francisco,USA,37.766909,-122.406676,Trulia,"[-122.406676, 37.766909]","{'type': 'Point', 'coordinates': [-122.406676, 37.766909]}",search,2004,q1,500,q4,tech,big company
145,Emeryville,USA,37.836957,-122.286493,TubeMogul,"[-122.286493, 37.836957]","{'type': 'Point', 'coordinates': [-122.286493, 37.836957]}",advertising,2006,q2,230,q4,others,mid company
