,Year,Country,Area,Injury,Fatal
152,2015,USA,California,"No injury, surfboard bitten",N
153,2015,USA,California,"No injury, shark struk sufer's leg and his board",N
154,2015,USA,Florida,Wound to right lower leg,N
155,2015,AUSTRALIA,New South Wales,Severe laceration to left buttock & thigh,N
156,2015,USA,South Carolina,"Injuries to left calf, arm and hand",N
157,2015,USA,Florida,Lacerations to right leg,N
158,2015,USA,California,"No injury, kayak bitten",N
160,2015,USA,California,Right hand bitten  PROVOKED INCIDENT,N
161,2015,AUSTRALIA,New South Wales,"Lacerations and puncture wounds to hip, thigh, arm and hand",N
162,2015,USA,Florida,Minor injury to sole of foot,N
163,2015,USA,South Carolina,"2' cut to dorsum of foot, 2 puncture wounds to sole",N
164,2015,AUSTRALIA,Tasmania,FATAL,Y
165,2015,USA,California,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,N
166,2015,AUSTRALIA,Victoria,Left hand bitten,N
168,2015,SOUTH AFRICA,Eastern Cape Province,No injury,N
169,2015,USA,California,"No injury, shark bumped & damaged board",N
170,2015,USA,California,Laceration to back,N
173,2015,USA,North Carolina,Lacerations to right hand & forearm,N
174,2015,AUSTRALIA,New South Wales,"No injury, shark bit surfboard",N
175,2015,AUSTRALIA,New South Wales,Significant injuries to lower legs,N
176,2015,USA,North Carolina,"Injuries to torso, hip, lower leg & hands",N
177,2015,AUSTRALIA,New South Wales,Hand bitten,N
178,2015,USA,South Carolina,Shallow lacerations & puncture to lateral left leg,N
179,2015,USA,North Carolina,"Injuries to right calf, buttock and both hands",N
180,2015,SOUTH AFRICA,Western Cape Province,"Right leg severed, multiple lacerations to left leg",N
181,2015,USA,Florida,Minor lacerations to leg,N
182,2015,SOUTH AFRICA,Western Cape Province,Multiple lacerations to torso & leg,N
183,2015,USA,South Carolina,Puncture wounds to foot,N
184,2015,AUSTRALIA,Western Australia,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,N
185,2015,USA,North Carolina,Multiple lacerations to back,N
186,2015,USA,North Carolina,Minor injury to foot,N
187,2015,AUSTRALIA,Western Australia,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",N
188,2015,USA,South Carolina,Minor injury to calf ,N
190,2015,USA,Florida,Minor injury to calf ,N
191,2015,USA,North Carolina,Arm amputated below shoulder,N
192,2015,USA,North Carolina,Left arm amputated at elbow & severe injury to leg,N
193,2015,USA,California,Severe laceration to leg,N
194,2015,USA,North Carolina,Minor lacerations to foot,N
195,2015,USA,Florida,Lacerations to right calf,N
196,2015,USA,Florida,Puncture wound to finger,N
198,2015,USA,Florida,Left foot bitten,N
199,2015,USA,Florida,Minor lacerations to dorsum of right foot,N
201,2015,USA,Florida,"Puncture wounds to lower left leg and ankle, shallow lacerations to foot, deep laceration to Achilles tendon",N
202,2015,USA,Florida,2 puncture wounds to  dorsum of left foot,N
203,2015,USA,South Carolina,Laceration to foot ,N
205,2015,USA,Florida,"Lacerations to lower left leg, ankle & foot",N
206,2015,AUSTRALIA,New South Wales,Injuries to left arm & right hand,N
207,2015,SOUTH AFRICA,Eastern Cape Province,"Injuries to leg, left arm & both hands",N
208,2015,USA,Hawaii,FATAL,Y
209,2015,USA,Florida,Lacerations to left calf,N
210,2015,AUSTRALIA,South Australia,Leg severed at mid-thigh,N
211,2015,AUSTRALIA,New South Wales,"No injury, knocked off ski",N
212,2015,USA,Florida,Lacerations to shoulder and left bicep,N
213,2015,AUSTRALIA,New South Wales,Ankle injured,N
216,2015,USA,Florida,Injuries to head & torso,N
218,2015,SOUTH AFRICA,Eastern Cape Province,No injury but kayak bitten,N
220,2015,USA,Hawaii,Lacerations to left forearm. Lacerations to left hand and thigh,N
222,2015,AUSTRALIA,New South Wales,Bruised in falling overboard as shark bumped boat,N
227,2015,AUSTRALIA,New South Wales,FATAL,Y
228,2015,AUSTRALIA,New South Wales,Laceration & puncture wounds to right flank & hip,N
229,2015,AUSTRALIA,New South Wales,5 minor puncture wounds to lower left leg,N
230,2015,AUSTRALIA,Queensland,"No injury, shark's teeth scratched hull",N
231,2015,USA,Hawaii,Lacerations to calf by hooked shark PROVOKED INCIDENT,N
232,2015,AUSTRALIA,New South Wales,"No injury, surfboard dented",N
233,2015,USA,Florida,No injury but shark bit trolling motor & rammed boat,N
234,2015,AUSTRALIA,New South Wales,Board snapped in two,N
235,2015,AUSTRALIA,New South Wales,"Shark bumped boat, no injury to occupants",N
236,2015,AUSTRALIA,New South Wales,Bitten on hand & wrist,N
237,2015,USA,Florida,"During his 16-hour swim to shore, he was circled by a shark but it did not injure him",N
239,2015,SOUTH AFRICA,Eastern Cape Province,"Lacerations to lower left leg, puncture wounds to sole of left foot",N
240,2015,USA,Florida,Leg bitten,N
241,2014,AUSTRALIA,New South Wales,Lacerations to both feet,N
242,2014,AUSTRALIA,Western Australia,FATAL,Y
244,2014,SOUTH AFRICA,KwaZulu-Natal,Minor cuts on feet,N
245,2014,USA,California,Injury to hip/leg,N
246,2014,AUSTRALIA,Victoria,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,N
248,2014,AUSTRALIA,Queensland,FATAL,Y
250,2014,AUSTRALIA,Western Australia,Minor injuries to right leg,N
252,2014,AUSTRALIA,Western Australia,"Shark chasing fish bumped boat, no injury to occupants",N
253,2014,USA,Florida,Laceration to left hand,N
254,2014,USA,California,"Shark bumped boat, no injury to occupants",N
255,2014,USA,Hawaii,Laceration to left upper leg,N
256,2014,AUSTRALIA,New South Wales,Minor injury to lower leg and foot,N
257,2014,USA,Florida,Minor injuries to hand & arm ,N
258,2014,USA,Hawaii,Lacerations to fingers,N
259,2014,AUSTRALIA,New South Wales,Laceration to dorsum of left foot when he stepped on the shark     PROVOKED INCIDENT,N
260,2014,USA,Hawaii,"No injury, paddleboard bitten",N
261,2014,USA,Hawaii,"No injury, paddleboard bitten",N
262,2014,USA,California,"No injury to occupant, canoe bitten",N
263,2014,USA,Hawaii,"No injury, surfboard bitten",N
264,2014,AUSTRALIA,New South Wales,"Lacerations to left calf & ankle, puncture wounds to left foot",N
265,2014,USA,South Carolina,Lacerations to left foot,N
266,2014,USA,Florida,Laceration to right hand/wrist,N
267,2014,USA,Florida,Thigh bitten,N
268,2014,AUSTRALIA,Western Australia,"Kayak deflated, no injury to occupants",N
269,2014,USA,Florida,Foot bitten,N
270,2014,USA,Florida,Foot bitten,N
271,2014,USA,California,"No injury to occupant, shark/s holded  kayak",N
272,2014,USA,California,"No injury to occupant, shark/s holded  kayak",N
273,2014,USA,California,Lacerations to knee,N
274,2014,AUSTRALIA,Western Australia,"Left arm & right hand severed, lacerations to both legs",N
275,2014,USA,Florida,Minor injury to left foot,N
277,2014,USA,California,"A hoax, no shark involvement",N
278,2014,AUSTRALIA,New South Wales,FATAL,Y
279,2014,USA,Alabama,Leg bitten,N
280,2014,USA,Massachusetts,"No injury, shark bit kayak",N
281,2014,USA,Florida,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,N
283,2014,USA,Florida,Injury to left calf,N
284,2014,USA,Florida,Lacerations to shin,N
285,2014,USA,Florida,Shark involvement not confirmed,N
286,2014,USA,Maryland,Lacerations to foot by hooked shark PROVOKED INCIDENT,N
288,2014,USA,North Carolina,Laceration to left hand,N
289,2014,USA,South Carolina,Heel bitten,N
290,2014,USA,Florida,Lacerations to forearm from hooked shark PROVOKED INCIDENT,N
291,2014,USA,North Carolina,Laceration to left foot,N
292,2014,AUSTRALIA,Western Australia,Lacerations to face and neck,N
293,2014,USA,Florida,Puncture wounds and lacerations to left thigh and knee,N
294,2014,USA,Florida,Puncture wounds & lacerations to foot,N
296,2014,USA,Florida,Puncture wounds to right foot & ankle,N
297,2014,USA,Louisiana,Minor lacerations to left heel and big toe,N
298,2014,USA,South Carolina,Lacerations to right leg & foot,N
299,2014,USA,Florida,Lacerations to  foot,N
300,2014,USA,Florida,Foot bitten,N
301,2014,USA,Florida,Laceration to ankle,N
302,2014,SOUTH AFRICA,Western Cape Province,Lower limbs & thigh bitten,N
304,2014,USA,North Carolina,Left foot bitten,N
306,2014,USA,Florida,Lacerations to right knee,N
308,2014,USA,Hawaii,Lacerations to left foot,N
309,2014,USA,Florida,Puncture wounds to foot,N
311,2014,USA,North Carolina,Lacerations to hand and wrist,N
312,2014,USA,Florida,Lacerations to foot,N
313,2014,USA,California,PROVOKED INCIDENT Torso bitten by shark hooked by an angler,N
314,2014,USA,California,"No injury, surboard bitten",N
315,2014,USA,South Carolina,Right hand bitten,N
318,2014,AUSTRALIA,South Australia,"No injury, surfboard 'attacked'",N
319,2014,AUSTRALIA,South Australia,Lacerations to knee,N
320,2014,AUSTRALIA,Western Australia,Lacerations to right hand by captive shark PROVOKED INCIDENT,N
322,2014,USA,Delaware,"Abrasion to right hand, lacerations to left forearm",N
323,2014,AUSTRALIA,South Australia,Minor injury to torso,N
325,2014,USA,Texas,Shallow lacerations & puncture wounds below shoulder,N
326,2014,USA,Florida,Laceration to right lower leg,N
327,2014,AUSTRALIA,New South Wales,Lacerations & puncture wounds to ankle and foot,N
328,2014,USA,Palmyra Atoll,Laceration to left hand,N
329,2014,AUSTRALIA,Queensland,Lacerations to legs,N
331,2014,AUSTRALIA,New South Wales,Cut to tip of finger by a captive shark PROVOKED INCIDENT,N
333,2014,USA,Florida,Calf bitten,N
334,2014,AUSTRALIA,South Australia,"No injury, but surfboard severely damaged",N
335,2014,USA,Florida,Lacerations and puncture wounds to right foot,N
336,2014,USA,Georgia,Puncture wounds to right thigh,N
337,2014,USA,Florida,"No injury. No attack. 12' white shark appeared curious, not aggressive & departed when prodded by spear",N
338,2014,USA,South Carolina,Lacerations to left foot,N
339,2014,USA,Florida,Laceration to right hand and cuts on fingertips,N
340,2014,AUSTRALIA,Western Australia,Minor injury,N
341,2014,USA,Florida,Laceration & puncture wounds to right foot,N
342,2014,USA,Florida,Minor lacerations to left foot,N
343,2014,SOUTH AFRICA,,"No injury to occupants, shark bit pontoon",N
344,2014,SOUTH AFRICA,Eastern Cape Province,Lacerations to leg & hand by hooked shark PROVOKED INCIDENT,N
345,2014,USA,Florida,Minor puncture wounds to lower left leg,N
346,2014,USA,Florida,Lacerations to foot,N
347,2014,AUSTRALIA,New South Wales,FATAL,Y
348,2014,AUSTRALIA,Western Australia,Shark bites may have been post mortem,Y
349,2014,SOUTH AFRICA,Eastern Cape Province,FATAL,Y
350,2014,USA,Florida,Lacerations to left forearm,N
351,2014,USA,Florida,Lacerations to toes and heel of right foot,N
353,2014,AUSTRALIA,Victoria,Shark leapt onto surfboard; surfer uninjured ,N
355,2014,AUSTRALIA,New South Wales,"Injuries to wrist/hand by a mackerel, not a shark",N
356,2014,AUSTRALIA,New South Wales,Minor lacerations to foot,N
357,2014,USA,Florida,Lacerations to toes,N
360,2014,AUSTRALIA,South Australia,FATAL,Y
363,2014,AUSTRALIA,New South Wales,Lacerations to ring and pinky fingers of his left hand by hooked shark PROVOKED INCIDENT,N
368,2013,SOUTH AFRICA,Western Cape Province,Injuries to left thigh,N
370,2013,USA,Hawaii,Lacerations to right hand & knee,N
371,2013,USA,Florida,Right foot bitten,N
372,2013,AUSTRALIA,New South Wales,"Puncture wounds to hand, laceration to leg",N
373,2013,USA,Hawaii,FATAL,Y
374,2013,AUSTRALIA,New South Wales,FATAL,Y
375,2013,USA,Hawaii,Right calf bitten,N
376,2013,AUSTRALIA,Western Australia,FATAL,Y
377,2013,USA,Oregon,"No injury, board bitten",N
378,2013,AUSTRALIA,Western Australia,"No injury, board bumped by shark",N
380,2013,USA,New Jersey,"No injury, swim fin bitten",N
381,2013,USA,Florida,Foot bitten,N
382,2013,USA,Hawaii,Severe bite to right calf & anklel,N
383,2013,AUSTRALIA,Western Australia,Lacerations to right arm,N
385,2013,AUSTRALIA,Western Australia,"No injury, swim fin shredded",N
386,2013,AUSTRALIA,New South Wales,Injuries to right foot,N
387,2013,USA,Hawaii,"3"" laceration to left hip",N
388,2013,USA,Hawaii,"No injury, shark bit surfboard",N
389,2013,USA,Florida,Bitten on left calf & foot,N
390,2013,SOUTH AFRICA,Eastern Cape Province,FATAL,Y
391,2013,AUSTRALIA,Western Australia,"Injuries to torso, head and face",N
392,2013,USA,California,Laceration to thigh,N
393,2013,USA,Florida,Lacerations to  right forearm,N
394,2013,USA,Florida,Lacerations to hand,N
396,2013,USA,Florida,Laceration and puncture wounds to ankle,N
397,2013,USA,Florida,Lacerations to right foot,N
398,2013,USA,Florida,Lacerations to left foream,N
399,2013,USA,Florida,Lacerations to right foot,N
400,2013,USA,Florida,Heel bitten,N
402,2013,USA,Florida,Foot bitten when he accidentally jumped onto the shark PROVOKED INCIDENT,N
403,2013,USA,Florida,"Minor injury, shin bitten",N
404,2013,USA,Florida,Shoulder bitten,N
405,2013,USA,Florida,Arm bitten by captive shark PROVOKED INCIDENT,N
407,2013,USA,Florida,Lacerations to left calf,N
409,2013,USA,California,Foot bitten,N
410,2013,USA,California,"Puncture wound to torso. Reported as a bite by a leopard shark, the tooth fragment appears to be that of a bony fish",N
412,2013,USA,Florida,Minor injury to left lower leg & heel,N
413,2013,AUSTRALIA,New South Wales,Lacerations to left forearm,N
414,2013,USA,Hawaii,Lacerations to buttocks & thigh,N
415,2013,USA,California,"No injury, shark bumped surfboard",N
416,2013,USA,Hawaii,FATAL,Y
417,2013,USA,Hawaii,No injury & not on board. Board adrift when bitten by shark,N
418,2013,USA,South Carolina,"No injury, shark became entangled in his surfboard leash",N
419,2013,SOUTH AFRICA,,"Unknown, but survived",N
420,2013,USA,Florida,Minor injury to foot & shin,N
421,2013,USA,Hawaii,"Lacerations to hand, face and torso",N
422,2013,USA,South Carolina,Foot bitten,N
425,2013,USA,Hawaii,Lower leg bitten,N
429,2013,USA,Alabama,Lacerations and abrasions to foot and ankle,N
430,2013,USA,Florida,4 cuts to posterior calf,N
433,2013,USA,North Carolina,Right foot bitten,N
435,2013,AUSTRALIA,Victoria,"No injury, holes in wetsuit ",N
438,2013,USA,California,"No injury, kayak scratched",N
439,2013,USA,Florida,Lacerations to left foot,N
440,2013,USA,South Carolina,"Bitten on lower right leg, reported as a minor injury",N
441,2013,USA,Hawaii,Right thigh & calf bitten,N
442,2013,USA,Texas,Left leg & hand bitten,N
443,2013,SOUTH AFRICA,Eastern Cape Province,Lacerations to knee,N
444,2013,USA,Florida,Lacerations to left ankle,N
445,2013,USA,South Carolina,Puncture marks to hand,N
446,2013,USA,Florida,Left hand bitten as he attempted to remove hook from shark PROVOKED INCIDENT,N
447,2013,AUSTRALIA,New South Wales,"No injury, board damaged",N
448,2013,USA,Hawaii,Lacerations to right hand,N
449,2013,USA,Florida,Right foot bitten,N
453,2013,USA,California,Shark bites were post-mortem,Y
455,2013,USA,Florida,Lacerations to left foot and ankle,N
456,2013,AUSTRALIA,New South Wales,Foot bitten by landed shark PROVOKED INCIDENT,N
458,2013,AUSTRALIA,New South Wales,Puncture wounds and lacerations to both legs,N
459,2013,USA,Florida,Lacerations to right foot,N
460,2013,SOUTH AFRICA,Western Cape Province,"""Light scratch on hand/wrist area""",N
461,2013,USA,Florida,Minor lacerations to right hand,N
464,2013,USA,Florida,Lacerations to hand,N
465,2013,AUSTRALIA,Western Australia,Disappeared. No evidence that he was taken by a shark,Y
466,2013,USA,Hawaii,Right thigh bitten,N
467,2013,AUSTRALIA,New South Wales,Never happened; it was a  hoax,N
471,2013,SOUTH AFRICA,Western Cape Province,Lacerations to left calf and heel from hooked shark PROVOKED INCIDENT,N
472,2013,SOUTH AFRICA,Western Cape Province,"No injury, surfboard bitten",N
474,2013,AUSTRALIA,Western Australia,Laceration to left hand,N
476,2013,SOUTH AFRICA,Eastern Cape Province,Injuries to arms & hands,N
478,2013,USA,Hawaii,Lacerations to right leg,N
479,2013,USA,Hawaii,"No injury, shark bit rail of foam board",N
480,2013,USA,Florida,Lacerations to right hand,N
483,2013,AUSTRALIA,Victoria,"No injury to occupants, shark bit propeller",N
484,2013,AUSTRALIA,Queensland,Lacerations to neck,N
485,2013,AUSTRALIA,Queensland,"No injury, a 3 m blue shark merely snapped at the man.",N
486,2013,USA,Hawaii,Left forearm bitten ,N
488,2013,AUSTRALIA,Western Australia,Calf & shin bitten ,N
489,2012,USA,Florida,Lower leg or ankle bitten,N
490,2012,AUSTRALIA,New South Wales,"No injury, chunk missing from surfboard",N
491,2012,AUSTRALIA,New South Wales,Lacerations to thigh and hand,N
492,2012,SOUTH AFRICA,Eastern Cape Province,FATAL,Y
493,2012,AUSTRALIA,Western Australia,No injury,N
494,2012,USA,Hawaii,Lacerations to left foot,N
495,2012,AUSTRALIA,New South Wales,Minor puncture wounds to knee,N
497,2012,USA,Hawaii,Lacerations to thigh & lower left leg,N
498,2012,AUSTRALIA,Queensland,"Injury to ankle caused  by a stingray, not a shark",N
500,2012,USA,Florida,Minor lacerations to left foot & heel,N
501,2012,USA,Hawaii,Right lower leg and foot bitten,N
502,2012,USA,Hawaii,"No injury, surfboard bitten",N
503,2012,USA,California,Multiple lacerations to torso,N
504,2012,USA,Hawaii,"Puncture wounds to thigh, defense wounds  to hand",N
505,2012,USA,California,FATAL,Y
506,2012,USA,Florida,Left calf bitten,N
507,2012,USA,Florida,Minor bite to ankle,N
508,2012,USA,Hawaii,"No injury, board bitten",N
509,2012,USA,Florida,Laceration to toe,N
511,2012,USA,California,"No ijnury to boardrider, shark struck board breaking the mast",N
512,2012,AUSTRALIA,Western Australia,"No injury, but swim fin bitten & torn",N
513,2012,USA,Florida,Lacerations to left forearm,N
514,2012,USA,Florida,Left foot bitten,N
515,2012,USA,Florida,Foot bitten,N
517,2012,USA,Florida,Minor injury to elbow,N
518,2012,USA,Florida,Right foot bitten,N
519,2012,USA,Florida,Lacerations to right calf,N
520,2012,USA,Florida,Right calf bitten,N
521,2012,USA,Florida,Lacerations to foot,N
522,2012,USA,Florida,Puncture wounds to hand,N
523,2012,USA,Florida,Puncture wounds to calf and hand,N
524,2012,USA,Hawaii,Minor laceration to hand  PROVOKED INCIDENT,N
525,2012,USA,Florida,Puncture wound to left ankle,N
527,2012,AUSTRALIA,Western Australia,Lacerations to torso and arm,N
529,2012,USA,Alabama,Lacerations to leg,N
530,2012,AUSTRALIA,Western Australia,"No injury, shark grabbed outboard motor",N
531,2012,USA,Florida,Lacerations to little finger of left hand,N
534,2012,USA,California,"No injury, surfer knocked off board when shark struck surfboard",N
535,2012,AUSTRALIA,South Australia,Lacerations to torso & arm,N
536,2012,USA,Hawaii,Left foot bitten,N
537,2012,USA,Massachusetts,Lacerations to both legs below the knees,N
538,2012,USA,North Carolina,Shark involvement unconfirmed,N
542,2012,AUSTRALIA,Western Australia,FATAL,Y
543,2012,USA,North Carolina,Lacerations to right ankle and calf,N
545,2012,AUSTRALIA,Victoria,Cause of death was drowning & preceded shark involvement,Y
546,2012,USA,California,"No injury, kayak bitten",N
547,2012,SOUTH AFRICA,Western Cape Province,Lacerattions to left thigh & knee,N
549,2012,USA,Florida,Thigh bitten,N
550,2012,USA,Florida,Nip to left foot,N
551,2012,USA,Hawaii,Laceration to left calf,N
552,2012,AUSTRALIA,Tasmania,"Knocked off board, shark bit nose off surfboard",N
553,2012,USA,Florida,Minor injury,N
554,2012,AUSTRALIA,Western Australia,"No injury, ski severely damaged",N
555,2012,USA,South Carolina,"Laceration to foot. Injured by a stingray, not a shark",N
556,2012,USA,North Carolina,Numerous puncture wounds to leg ,N
557,2012,USA,Florida,Superficial injury to calf by hooked shark PROVOKED ACCIDENT,N
558,2012,USA,South Carolina,Foot & hand bitten,N
559,2012,USA,South Carolina,Minor injury,N
560,2012,USA,South Carolina,Calf bitten,N
561,2012,USA,South Carolina,Laceration to right foot,N
562,2012,AUSTRALIA,Victoria,Laceration to right foot,N
564,2012,AUSTRALIA,New South Wales,"No injury, ski bitten",N
565,2012,USA,Florida,Laceration to thigh,N
566,2012,USA,South Carolina,Severe laceration to foot,N
567,2012,USA,North Carolina,Foot bitten,N
569,2012,USA,Florida,Lacerations to foot,N
570,2012,USA,Hawaii,"No injury, teethmarks in kayak",N
572,2012,USA,California,"No injury, kayaker fell in the water when kayak bitten by a shark",N
573,2012,USA,Florida,Upper left thigh bitten,N
574,2012,USA,California,"No injury, shark bit paddleboard",N
575,2012,USA,Florida,Lacerations to hand,N
576,2012,SOUTH AFRICA,Western Cape Province,FATAL,Y
577,2012,AUSTRALIA,South Australia,Minor wound to his thigh when shark bit kayak,N
578,2012,USA,Hawaii,Lacerations to left foot,N
579,2012,USA,Florida,Right shin bitten,N
580,2012,AUSTRALIA,Western Australia,FATAL,Y
581,2012,USA,Florida,Minor lacerations to foot,N
582,2012,AUSTRALIA,Western Australia,"No injury to occupants. Shark bit propelle, rope & crayfish float",N
