,Year,Species,Injury,Injury_Class,Fatal (Y/N)
75,2017,Tiger,Minor injury to hand,1,N
76,2017,Blue,Abrasion to arm from shark's rough skin,3,N
77,2017,Other,Foot bitten,2,N
78,2017,Other,Foot injured,2,N
79,2017,White,"No injury, kayak bitten",0,N
80,2017,White,"No injury, shark bit paddleboard",0,N
81,2017,White,Pulled off board by shark but no injury,3,N
82,2017,White,"No injury, kayak bitten",0,N
83,2017,Bull,Lower legs bitten,3,N
84,2017,Tiger,Hand bitten by hooked shark PROVOKED INCIDENT,3,N
85,2017,White,"No injury, shark bit surfboard",0,N
86,2017,Other,"Skull found in shark, a probable drowning & scavenging",3,N
87,2017,Other,"Arm injured by hook, not by a shark",3,N
88,2017,Bull,Leg bitten,3,N
89,2017,Bull,"No injury, shark bit surfboard ",0,N
90,2017,White,"No injury, board bitten",0,N
91,2017,Other,"No injury, knocked off board",0,N
92,2017,Other,"Bruise to leg, cuts to hand sustained when he hit the shark",3,N
93,2017,Other,Laceration to shin,2,N
94,2017,Tiger,Right forearm severed ,3,N
95,2017,Other,Right hand bitten by hooked shark PROVOKED INCIDENT,3,N
96,2017,Tiger,Lacerations to right arm,2,N
97,2017,Other,Thigh nipped PROVOKED INCIDENT,3,N
98,2017,Other,"Laceration to thigh, likely caused by surfboard fin",2,N
99,2017,Other,Alleged laceration to left ankle,3,N
100,2017,Other,Laceration & puncture wounds to left foot,2,N
101,2017,White,FATAL,4,Y
102,2017,Tiger,Lower right leg severely injured,3,N
103,2017,Other,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",4,Y
104,2017,Bull,Lacerations to thighs,2,N
105,2017,Other,Right thigh injured ,3,N
106,2017,Lemon,Abrasions & lacerations to left leg and hand,3,N
107,2017,Bull,Hand bitten,2,N
108,2017,Lemon,"Minor injury to finger, PROVOKED INCIDENT",1,N
109,2017,Tiger,"Shark damaged kayak, no injury to occupant",3,N
110,2017,White,"Shark bit boat, no injury to occupants",3,N
111,2017,Reef,Lacerations to upper right arm,2,N
112,2017,Bull,"Multiple injuries to arm, wrist and torso",3,N
113,2017,Bull,Injury to right wrist & forearm,3,N
114,2017,Other,Minor injuries to foot & toes,1,N
115,2016,Other,Buttock bitten,2,N
116,2016,White,"No injury, but ski severely damaged",0,N
117,2016,Other,Cuts to right ankle & foot,3,N
118,2016,Wobbegong,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,2,N
119,2016,White,Injuries to foot & arm,3,N
120,2016,Other,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,2,N
121,2016,Tiger,Injuries to right calf and thigh,3,N
122,2016,Other,Left arm and leg injured,3,N
123,2016,White,"Shark breached cage, no injury to diver",3,N
124,2016,White,4 deep lacerations to thigh,4,Y
125,2016,Other,No injury: Knocked off board by shark,0,N
126,2016,Other,Minor injury to arm,1,N
127,2016,Tiger,Severe lacerations to shoulder & forearm,3,N
128,2016,White,Two toes broken & lacerated,3,N
129,2016,Other,"No injury to divers, white shark breached cage",0,N
130,2016,Bull,Lacerations to right foot,2,N
131,2016,Bull,"Right arm severed, ankle severely bitten ",3,N
132,2016,Tiger,"No inury, shark & board collided",3,N
133,2016,Blacktip,Big toe bitten,2,N
134,2016,Blue,Lacerations to right hand,2,N
135,2016,White,"No injury, shark nudged kayak repeatedly",0,N
136,2016,Nurse,Laceration to left forearm PROVOKED INCIDENT,2,N
137,2016,Bull,Lacerations to face and right leg,2,N
138,2016,Reef,Laceration to left calf from hooked shark PROVOKED INCIDENT,2,N
139,2016,Tiger,"No injury, shark bit trolling motor",0,N
140,2016,White,"No injury, board damaged",0,N
141,2016,Lemon,Face bruised when partly blind shark collided with him,3,N
142,2016,Angel,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",3,N
143,2016,White,"No injury. Hull bitten, tooth fragment recovered",0,N
144,2016,Dogfish,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,3,N
145,2016,White,"No injury. Hull bitten, tooth fragment recovered",0,N
146,2016,Nurse,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,3,N
147,2016,Other,Minor injury,1,N
148,2016,Reef,Severe bite to right hand,3,N
149,2016,White,Injuries to left leg & right hand,3,N
150,2016,Other,Lacerations and punctures to foot,2,N
151,2016,Other,Single puncture wound to arm,3,N
152,2016,Other,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,0,N
153,2016,Other,Injury to lower leg,3,N
154,2016,Other,Laceration to wrist,2,N
155,2016,Other,"No injury, board damaged",0,N
156,2016,Other,FATAL,4,Y
157,2016,Mako,"Leg severely bitten, surgically amputated",3,N
158,2016,Bronze,"No injury, but sharks repeatedly hit their fins and guns",0,N
159,2016,Other,Laceration to heel,2,N
160,2016,White,FATAL,4,Y
161,2016,Other,Injury to posterior right leg,3,N
162,2016,Bull,Lacerations and puncture wounds to foot and ankle,2,N
163,2016,Blacktip,Ankle bitten,2,N
164,2016,Nurse,Arm grabbed PROVOKED INCIDENT,3,N
165,2016,Mako,Foot bitten by landed shark PROVOKED INCIDENT,3,N
166,2016,Bull,Elbow bitten,2,N
167,2016,White,"No injury, surf-ski bitten",0,N
168,2016,Wobbegong,Minor puncture wound to foot,1,N
169,2016,Grey,Laceration to knee by speared shark PROVOKED INCIDENT,2,N
170,2016,Grey,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",3,N
171,2016,Bull,Multiple bites to right arm,3,N
172,2016,Tiger,FATAL,4,Y
173,2016,Other,"""Serious""",3,N
174,2016,Other,Left hand bitten,3,N
175,2016,Other,Minor injury to arm. Possibly caused by smalll nurse shark,3,N
176,2016,Nurse,Minor injury to chest PROVOKED INCIDENT,1,N
177,2016,Other,Board reportedly bumped by shark. No injury,3,N
178,2016,Bronze,Puncture wounds to right calf,3,N
179,2016,Tiger,Minor injury to head,1,N
180,2016,Other,Minor injury to wrist from Southern stingray,1,N
181,2016,Other,"No injury, knocked off board",0,N
182,2016,Tiger,Lacerations to scalp,2,N
183,2016,Reef,Lacerations to both hands,2,N
184,2016,Bull,"Bruised ribs & tail bone, speargun broken and wetsuit cut",3,N
185,2016,Mako,"No injury to occupants, shark leapt into boat",0,N
186,2016,Tiger,No injury,0,N
187,2016,Wobbegong,Laceration to right foot,2,N
188,2016,Blacktip,Laceration to right calf,2,N
189,2016,Other,Lacerations to arms & leg,2,N
190,2015,White,"No injury, kayak damaged",0,N
191,2015,Other,Lacerations to left forearm,2,N
192,2015,Other,"No injury, shark bit board",0,N
193,2015,Bronze,"No injury, shark leapt on surfboard",0,N
194,2015,Tiger,Right hand & part of forearm removed,3,N
195,2015,White,"No injury, shark rammed boat & bit motor",0,N
196,2015,Bull,"Bitten on thigh, abdomen & hand",3,N
197,2015,Galapagos,Lacerations to left calf,2,N
198,2015,Spinner,Lacerations to hand,2,N
199,2015,Bull,Injury to left thigh,3,N
200,2015,Other,Lower left leg injured,3,N
201,2015,Other,Injury to right ankle/calf & hand,3,N
202,2015,White,"Lacerations to right calf, knee & hip",2,N
203,2015,Other,Lacerations to left hand,2,N
204,2015,Spinner,Left foot bitten,3,N
205,2015,Other,Left foot bitten by eel,3,N
206,2015,Tiger,Severe injuries to lower legs. Foot later surgically amputated.,3,N
207,2015,Hammerhead,"No injury, shark rammed kayak repeatedly",0,N
208,2015,Tiger,"Left leg severed below the knee, defense injuries to left hand",3,N
209,2015,Other,Foot & hands bitten,2,N
210,2015,Blacktip,Severe lacerations to left hand,3,N
211,2015,Blacktip,"Laceration to heel, puncture wounds to dorsum of foot",2,N
212,2015,White,"No injury, kayak damaged",0,N
213,2015,Other,Minor injury to left ankle,1,N
214,2015,Tiger,Severe laceration to left leg,3,N
215,2015,Other,Significant injuries to leg,3,N
216,2015,Hammerhead,No injury,0,N
217,2015,Other,Minor laceration to hand,1,N
218,2015,White,"No injury, shark struck board, tossing her into the sea",0,N
219,2015,Hammerhead,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,2,N
220,2015,White,Inuries to lower left leg & ankle,3,N
221,2015,Other,Right foot bitten,2,N
222,2015,Other,Left foot & ankle bitten,3,N
223,2015,Tiger,Leg bitten,3,N
224,2015,White,"No injury, surfboard bitten",0,N
225,2015,White,"No injury, shark struk sufer's leg and his board",0,N
226,2015,Other,Wound to right lower leg,3,N
227,2015,Other,"Injuries to left calf, arm and hand",3,N
228,2015,Other,Lacerations to right leg,2,N
229,2015,White,"No injury, kayak bitten",0,N
230,2015,Other,Minor injury when he attempted to touch a fish. ,1,N
231,2015,Hammerhead,Right hand bitten  PROVOKED INCIDENT,3,N
232,2015,White,"Lacerations and puncture wounds to hip, thigh, arm and hand",2,N
233,2015,Blacktip,Minor injury to sole of foot,1,N
234,2015,Other,"2' cut to dorsum of foot, 2 puncture wounds to sole",3,N
235,2015,White,FATAL,4,Y
236,2015,Mako,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,3,N
237,2015,Bronze,Left hand bitten,3,N
238,2015,Bull,Arm bitten,3,N
239,2015,White,No injury,0,N
240,2015,White,"No injury, shark bumped & damaged board",0,N
241,2015,Other,Laceration to back,2,N
242,2015,Other,Parallel lacerations to torso inconsistent with shark bite,3,N
243,2015,Other,Lacerations to lower leg & ankle,2,N
244,2015,White,"No injury, shark bit surfboard",0,N
245,2015,White,Significant injuries to lower legs,3,N
246,2015,Other,"Injuries to torso, hip, lower leg & hands",3,N
247,2015,Other,Shallow lacerations & puncture to lateral left leg,2,N
248,2015,Bull,"Injuries to right calf, buttock and both hands",3,N
249,2015,White,"Right leg severed, multiple lacerations to left leg",2,N
250,2015,Other,Minor lacerations to leg,1,N
251,2015,White,Multiple lacerations to torso & leg,2,N
252,2015,Other,Puncture wounds to foot,3,N
253,2015,Wobbegong,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,1,N
254,2015,Tiger,Minor injury to foot,1,N
255,2015,White,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",3,N
256,2015,Other,Minor injury to calf ,1,N
257,2015,Bull,Arm amputated below shoulder,3,N
258,2015,Bull,Left arm amputated at elbow & severe injury to leg,3,N
259,2015,Mako,Severe laceration to leg,3,N
260,2015,Other,Minor lacerations to foot,1,N
261,2015,Bull,Lacerations to right calf,2,N
262,2015,Nurse,Puncture wound to finger,3,N
263,2015,Bull,Left forearm bitten,3,N
264,2015,Other,Lacerations to right forearm,2,N
265,2015,Other,2 puncture wounds to  dorsum of left foot,3,N
266,2015,Other,Laceration to foot ,2,N
267,2015,Bull,FATAL,4,Y
268,2015,White,Injuries to left arm & right hand,3,N
269,2015,White,"Injuries to leg, left arm & both hands",3,N
270,2015,Other,Lacerations to left calf,2,N
271,2015,White,Leg severed at mid-thigh,3,N
272,2015,White,"No injury, knocked off ski",0,N
273,2015,Blue,Lacerations to shoulder and left bicep,2,N
274,2015,Bull,FATAL,4,Y
275,2015,Bull,Injuries to head & torso,3,N
276,2015,Other,"FATAL, but shark involvement prior to death unconfirmed",4,Y
277,2015,Other,Injury to left thigh from unidentified species of fish; injuries inconsistent with shark bite,3,N
278,2015,White,No injury but kayak bitten,0,N
279,2015,Mako,FATAL,4,Y
280,2015,Tiger,Lacerations to left forearm. Lacerations to left hand and thigh,2,N
281,2015,Blacktip,Hand bitten,2,N
282,2015,Blacktip,Thigh bitten,2,N
283,2015,White,"No injury, shark bit rudder",0,N
284,2015,Tiger,FATAL,4,Y
285,2015,Other,FATAL,4,Y
286,2015,Other,Laceration & puncture wounds to right flank & hip,2,N
287,2015,Other,5 minor puncture wounds to lower left leg,1,N
288,2015,Bull,"No injury, shark's teeth scratched hull",0,N
289,2015,Other,Lacerations to calf by hooked shark PROVOKED INCIDENT,2,N
290,2015,White,No injury but shark bit trolling motor & rammed boat,0,N
291,2015,Other,Board snapped in two,3,N
292,2015,Other,"Shark bumped boat, no injury to occupants",3,N
293,2015,Other,Bitten on hand & wrist,3,N
294,2015,Other,"During his 16-hour swim to shore, he was circled by a shark but it did not injure him",3,N
295,2015,White,Severe bite to right flank,3,N
296,2015,Other,"Lacerations to lower left leg, puncture wounds to sole of left foot",2,N
297,2015,Other,Leg bitten,3,N
298,2014,Other,Lacerations to both feet,2,N
299,2014,White,FATAL,4,Y
300,2014,Other,"Of 9 bodies recovered, one was bitten by a shark",3,N
301,2014,Other,Minor cuts on feet,1,N
302,2014,White,Injury to hip/leg,3,N
303,2014,Other,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,2,N
304,2014,Goblin,"No injury, shark snagged its teeth in diver's suit",0,N
305,2014,Tiger,FATAL,4,Y
306,2014,White,"Shark chasing fish bumped boat, no injury to occupants",3,N
307,2014,White,"Shark bumped boat, no injury to occupants",3,N
308,2014,Other,Laceration to left hand,2,N
309,2014,Other,Laceration to left upper leg,2,N
310,2014,Tiger,Lacerations to fingers,2,N
311,2014,Tiger,"No injury, paddleboard bitten",0,N
312,2014,Other,"No injury, surfboard bitten",0,N
313,2014,Other,"Lacerations to left calf & ankle, puncture wounds to left foot",3,N
314,2014,Bull,Lacerations to left foot,2,N
315,2014,Blacktip,Foot bitten,2,N
316,2014,White,"No injury to occupant, shark/s holded  kayak",3,N
317,2014,White,"No injury to occupant, shark/s holded  kayak",3,N
318,2014,Other,Lacerations to knee,2,N
319,2014,White,"Left arm & right hand severed, lacerations to both legs",3,N
320,2014,Blacktip,Thumb & finger nipped,3,N
321,2014,Other,"A hoax, no shark involvement",3,N
322,2014,Other,FATAL,4,Y
323,2014,Bull,Leg bitten,3,N
324,2014,White,"No injury, shark bit kayak",0,N
325,2014,Other,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,3,N
326,2014,Spinner,Injury to left calf,3,N
327,2014,Blacktip,Lacerations to shin,2,N
328,2014,Other,Shark involvement not confirmed,3,N
329,2014,Other,Minor lacerations to posterior lower leg,1,N
330,2014,Other,Laceration to left hand,2,N
331,2014,Bull,Lacerations to forearm from hooked shark PROVOKED INCIDENT,2,N
332,2014,Other,Laceration to left foot,2,N
333,2014,Reef,Lacerations to face and neck,2,N
334,2014,Bull,Puncture wounds and lacerations to left thigh and knee,3,N
335,2014,Bull,Puncture wounds to right foot and ankle,3,N
336,2014,Bull,Minor lacerations to left heel and big toe,1,N
337,2014,Other,Lacerations to right leg & foot,2,N
338,2014,White,Lower limbs & thigh bitten,3,N
339,2014,Other,Shark involvement prior to death not confirmed,3,N
340,2014,Tiger,Left foot bitten,3,N
341,2014,Other,Lacerations to right wrist & calf,2,N
342,2014,Angel,Minor injury,1,N
343,2014,Other,Lacerations to left foot,2,N
344,2014,Other,Puncture wounds to foot,3,N
345,2014,Other,"Missing after a dive, shark involvement considered probable, but not confirmed",3,N
346,2014,White,PROVOKED INCIDENT Torso bitten by shark hooked by an angler,3,N
347,2014,Other,Right hand bitten,2,N
348,2014,White,His boat was holed by a shark,3,N
349,2014,Reef,No injury but shark took his pole spear,0,N
350,2014,Lemon,Lacerations to right hand by captive shark PROVOKED INCIDENT,2,N
351,2014,Other,"Abrasion to right hand, lacerations to left forearm",3,N
352,2014,Bronze,Minor injury to torso,1,N
353,2014,Bull,Laceration to right lower leg,2,N
354,2014,Blacktip,Laceration to left hand,2,N
355,2014,Bull,Lacerations to legs,2,N
356,2014,Other,Lacerations to left thigh and hip,2,N
357,2014,Nurse,Cut to tip of finger by a captive shark PROVOKED INCIDENT,3,N
358,2014,White,"No injury, but surfboard severely damaged",0,N
359,2014,Other,Puncture wounds to right thigh,3,N
360,2014,Other,"No injury. No attack. 12' white shark appeared curious, not aggressive & departed when prodded by spear",3,N
361,2014,Other,Lacerations to left foot,2,N
362,2014,Other,4-inch laceration to arm,4,Y
363,2014,Other,Laceration to right hand and cuts on fingertips,2,N
364,2014,Reef,Minor injury,1,N
365,2014,White,"No injury to occupants, shark bit pontoon",0,N
366,2014,Other,Lacerations to leg & hand by hooked shark PROVOKED INCIDENT,2,N
367,2014,White,FATAL,4,Y
368,2014,Other,Shark bites may have been post mortem,3,N
369,2014,Other,FATAL,4,Y
370,2014,Other,Lacerations to left forearm,2,N
371,2014,Other,"Injuries to wrist/hand by a mackerel, not a shark",3,N
372,2014,Wobbegong,Minor lacerations to foot,1,N
373,2014,Other,"Caribbean reef shark buzzed him. No injury, no attack. ",3,N
374,2014,Blacktip,Lacerations to toes,2,N
375,2014,Blacktip,Lacerations to lower leg,2,N
376,2014,Other,Lacerations to leg,2,N
377,2014,Other,Lacerations to ring and pinky fingers of his left hand by hooked shark PROVOKED INCIDENT,2,N
378,2014,Other,Minor injury to left lower leg & heel,1,N
379,2014,White,"""Minor laceration to shoulder""",1,N
380,2014,White,"No injury to occupants, shark nudged and bit boat",0,N
381,2013,Bull,Leg bitten,3,N
382,2013,White,Injuries to left thigh,3,N
383,2013,Tiger,Lacerations to right hand & knee,2,N
384,2013,Other,Right foot bitten,2,N
385,2013,Wobbegong,"Puncture wounds to hand, laceration to leg",3,N
386,2013,Tiger,FATAL,4,Y
387,2013,White,FATAL,4,Y
388,2013,White,"No injury, board bitten",0,N
389,2013,White,"No injury, board bumped by shark",0,N
390,2013,Tiger,Severe bite to right calf & anklel,3,N
391,2013,Blacktip,Lacerations to right arm,2,N
392,2013,Bull,Right leg severed,3,N
393,2013,White,"No injury, swim fin shredded",0,N
394,2013,Wobbegong,Injuries to right foot,3,N
395,2013,White,"3"" laceration to left hip",3,N
396,2013,Tiger,"No injury, shark bit surfboard",0,N
397,2013,Nurse,Bitten on left calf & foot,3,N
398,2013,White,FATAL,4,Y
399,2013,White,"Injuries to torso, head and face",3,N
400,2013,White,Laceration to thigh,2,N
401,2013,Bull,Lacerations to  right forearm,2,N
402,2013,Bull,Lacerations to right foot,2,N
403,2013,Other,Heel bitten,3,N
404,2013,Other,Foot bitten when he accidentally jumped onto the shark PROVOKED INCIDENT,3,N
405,2013,Other,"Minor injury, shin bitten",1,N
406,2013,Nurse,Arm bitten by captive shark PROVOKED INCIDENT,3,N
407,2013,Other,Lacerations to left calf,2,N
408,2013,Blacktip,Lower left leg bitten,3,N
409,2013,Other,Foot bitten,2,N
410,2013,Other,"Puncture wound to torso. Reported as a bite by a leopard shark, the tooth fragment appears to be that of a bony fish",3,N
411,2013,Mako,Laceration to right arm from hooked shark  PROVOKED INCIDENT,2,N
412,2013,White,"No injury, shark bumped surfboard",0,N
413,2013,Tiger,FATAL,4,Y
414,2013,Bull,"No injury, shark became entangled in his surfboard leash",0,N
415,2013,Blacktip,"Unknown, but survived",3,N
416,2013,Bull,Minor injury to foot & shin,1,N
417,2013,Other,Leg bitten,3,N
418,2013,Tiger,Lower leg bitten,3,N
419,2013,Nurse,Bitten on left hand,3,N
420,2013,Other,"Scrape to right forearm. Frennet says inflicted by a blue shark, but authorities question shark involvement",3,N
421,2013,Other,Probable drowning with post-mortem bites,3,N
422,2013,White,"No injury, kayak scratched",0,N
423,2013,Bull,Lacerations to left foot,2,N
424,2013,Other,"Bitten on lower right leg, reported as a minor injury",3,N
425,2013,Tiger,Right thigh & calf bitten,2,N
426,2013,Other,Puncture marks to hand,3,N
427,2013,Lemon,Left hand bitten as he attempted to remove hook from shark PROVOKED INCIDENT,3,N
428,2013,Other,"No injury, board damaged",0,N
429,2013,Galapagos,Lacerations to right hand,2,N
430,2013,Galapagos,Superficial injury to left calf,3,N
431,2013,Other,Shark bites were post-mortem,3,N
432,2013,Bull,FATAL,4,Y
433,2013,Other,Lacerations to left foot and ankle,2,N
434,2013,Wobbegong,Foot bitten by landed shark PROVOKED INCIDENT,3,N
435,2013,Tiger,Avulsion injury  to lower right leg,3,N
436,2013,Nurse,Puncture wounds and lacerations to both legs,3,N
437,2013,Other,Lacerations to right foot,2,N
438,2013,Blue,"""Light scratch on hand/wrist area""",3,N
439,2013,Bull,Minor lacerations to right hand,1,N
440,2013,Blacktip,"Underside of board, fins and, harness were damaged, and left  hip, thigh and buttock sustained puncture wounds",3,N
441,2013,Other,Disappeared. No evidence that he was taken by a shark,3,N
442,2013,Other,Right thigh bitten,2,N
443,2013,Other,Never happened; it was a  hoax,3,N
444,2013,Nurse,Toe injured,2,N
445,2013,Other,Lacerations to left calf and heel from hooked shark PROVOKED INCIDENT,2,N
446,2013,Tiger,FATAL,4,Y
447,2013,Bronze,Laceration to left hand,2,N
448,2013,Other,Minor leg injuries,1,N
449,2013,White,FATAL,4,Y
450,2013,Reef,Lacerations to right leg,2,N
451,2013,Reef,"No injury, shark bit rail of foam board",0,N
452,2013,Blacktip,Lacerations to right hand,2,N
453,2013,Lemon,Lacerations to right arm & thigh,2,N
454,2013,White,"No injury to occupants, shark bit propeller",0,N
455,2013,Tiger,Left forearm bitten ,3,N
456,2013,Bronze,Minor cut on finger,1,N
457,2012,Other,"No injury, chunk missing from surfboard",0,N
458,2012,Bull,Lacerations to thigh and hand,2,N
459,2012,Tiger,FATAL,4,Y
460,2012,Tiger,No injury,0,N
461,2012,Other,Lacerations to left foot,2,N
462,2012,Tiger,Minor puncture wounds to knee,1,N
463,2012,Other,"No injury, shark grabbed hood",0,N
464,2012,Tiger,Lacerations to thigh & lower left leg,2,N
465,2012,Other,"Injury to ankle caused  by a stingray, not a shark",3,N
466,2012,Other,FATAL,4,Y
467,2012,Other,Minor lacerations to left foot & heel,1,N
468,2012,Tiger,Right lower leg and foot bitten,3,N
469,2012,Tiger,"No injury, surfboard bitten",0,N
470,2012,White,Multiple lacerations to torso,2,N
471,2012,Tiger,"Puncture wounds to thigh, defense wounds  to hand",3,N
472,2012,White,FATAL,4,Y
473,2012,Other,"No injury, board bitten",0,N
474,2012,Other,Laceration to toe,2,N
475,2012,Other,"No injury, but swim fin bitten & torn",0,N
476,2012,Other,Lacerations to left forearm,2,N
477,2012,Other,Left foot bitten,3,N
478,2012,Bull,Injuries to thighs & buttocks,3,N
479,2012,Other,Puncture wounds to calf and hand,3,N
480,2012,Tiger,Minor laceration to hand  PROVOKED INCIDENT,1,N
481,2012,Other,Puncture wound to left ankle,3,N
482,2012,Other,"No injury, shoe bitten by hooked and landed shark PROVOKED INCIDENT",0,N
483,2012,Other,"No injury, shark grabbed outboard motor",0,N
484,2012,Lemon,Lacerations to little finger of left hand,2,N
485,2012,Bull,Right hand and foot severed,3,N
486,2012,Lemon,Shoulder bitten,3,N
487,2012,White,Lacerations to torso & arm,2,N
488,2012,White,Lacerations to both legs below the knees,2,N
489,2012,Other,Shark involvement unconfirmed,3,N
490,2012,Other,"Lacerations to 2 fingers, but shark involvement unconfirmed",3,N
491,2012,White,FATAL,4,Y
492,2012,Other,"No injury, kayak bitten",0,N
493,2012,Other,Lacerattions to left thigh & knee,2,N
494,2012,Other,"Leg struck. Initally reported as a shark attack, but involved a swordfish",3,N
495,2012,Bull,Thigh bitten,2,N
496,2012,Reef,Laceration to left calf,2,N
497,2012,Other,"No injury, ski severely damaged",0,N
498,2012,Other,"Laceration to foot. Injured by a stingray, not a shark",3,N
499,2012,Nurse,Superficial injury to calf by hooked shark PROVOKED ACCIDENT,3,N
500,2012,Blacktip,Foot & hand bitten,2,N
501,2012,Other,Minor injury,1,N
502,2012,Blacktip,Calf bitten,2,N
503,2012,Blacktip,Laceration to right foot,2,N
504,2012,Other,Laceration to right foot,2,N
505,2012,Blue,Lower left leg injured PROVOKED ACCIDENT,3,N
506,2012,White,"No injury, ski bitten",0,N
507,2012,Other,Foot bitten,2,N
508,2012,Bull,Left hand severed,3,N
509,2012,Other,Lacerations to foot,2,N
510,2012,Tiger,"No injury, teethmarks in kayak",0,N
511,2012,White,"No injury, kayaker fell in the water when kayak bitten by a shark",0,N
512,2012,White,"No injury, shark bit paddleboard",0,N
513,2012,Other,Lacerations to hand,2,N
514,2012,White,FATAL,4,Y
