,_id,category_code,coord,founded_year,latitude,longitude,name,number_of_employees,raised_amount,raised_currency_code,total_money_raised
13,5cd97e7af03f763b4df1aaa1,enterprise,"[-122.158804, 37.43938]",2006,37.43938,-122.158804,Gigya,230,3000000,USD,69800000
14,5cd97e7af03f763b4df1abb0,games_video,"[-122.161025, 37.44236]",2007,37.44236,-122.161025,MUBI,20,750000,USD,8250000
15,5cd97e7af03f763b4df1ae3f,hardware,"[-122.162159, 37.442601]",2006,37.442601,-122.162159,Powervation,20,4957000,GBP,22000000
16,5cd97e7af03f763b4df1aa18,enterprise,"[-122.1615, 37.442949]",2002,37.442949,-122.1615,Socialtext,50,300000,USD,46800000
17,5cd97e7af03f763b4df1ab8c,mobile,"[-122.1624131, 37.4429885]",2000,37.4429885,-122.1624131,Zong,60,15000000,USD,15000000
18,5cd97e7af03f763b4df1ad0c,software,"[-122.161287, 37.444098]",2005,37.444098,-122.161287,Nexenta Systems,200,21000000,USD,49900000
19,5cd97e7af03f763b4df1ac1a,mobile,"[-122.161018, 37.444332]",2008,37.444332,-122.161018,Tapulous,15,1800000,USD,2800000
20,5cd97e7af03f763b4df1accd,software,"[-122.163139, 37.444393]",2007,37.444393,-122.163139,Angstro,4,225000,USD,225000
21,5cd97e7af03f763b4df1ae8b,web,"[-122.163352, 37.444531]",2008,37.444531,-122.163352,Milo,20,950000,USD,4950000
22,5cd97e7af03f763b4df1ad98,finance,"[-122.1490582, 37.4459832]",2008,37.4459832,-122.1490582,Wealthfront,20,3000000,USD,30500000
23,5cd97e7af03f763b4df1aa96,web,"[-122.160671, 37.445326]",2005,37.445326,-122.160671,EchoSign,100,2500000,USD,8500000
24,5cd97e7af03f763b4df1ab88,web,"[-122.160671, 37.445326]",2006,37.445326,-122.160671,Netcipia,3,200000,USD,200000
25,5cd97e7af03f763b4df1aae0,web,"[-122.117418, 37.402802]",2007,37.402802,-122.117418,TravelMuse,11,3000000,USD,5600000
26,5cd97e7af03f763b4df1ab7f,web,"[-122.155678, 37.446382]",2008,37.446382,-122.155678,Noovo,8,300000,EUR,300000
27,5cd97e7af03f763b4df1aa6b,travel,"[-122.161247, 37.445714]",2006,37.445714,-122.161247,GlobalMotion,0,1000000,USD,1000000
28,5cd97e7af03f763b4df1aa6a,advertising,"[-122.156579, 37.446668]",2006,37.446668,-122.156579,PubMatic,380,3500000,USD,63000000
29,5cd97e7af03f763b4df1af16,enterprise,"[-122.16054, 37.446411]",2007,37.446411,-122.16054,Bling Nation,25,8000000,USD,28000000
30,5cd97e7af03f763b4df1ab13,games_video,"[-122.161523, 37.446823]",2011,37.446823,-122.161523,Social Gaming Network,100,15000000,USD,17100000
31,5cd97e7af03f763b4df1abd8,mobile,"[-122.166911, 37.445667]",2005,37.445667,-122.166911,Mozes,19,5800000,USD,22300000
32,5cd97e7af03f763b4df1ad3f,public_relations,"[-122.161415, 37.448944]",2007,37.448944,-122.161415,Q-magic,5,650000,USD,650000
33,5cd97e7af03f763b4df1aa72,search,"[-122.166264, 37.451124]",2005,37.451124,-122.166264,Cuil,30,8000000,USD,33000000
34,5cd97e7af03f763b4df1aeed,biotech,"[-122.10649, 37.431409]",2000,37.431409,-122.10649,Anacor Pharmaceutical,31,50000000,USD,192000000
35,5cd97e7af03f763b4df1ae87,web,"[-122.1802812, 37.4484914]",2009,37.4484914,-122.1802812,Factery,2,1200000,USD,1200000
36,5cd97e7af03f763b4df1aa84,web,"[-122.104099, 37.401355]",2007,37.401355,-122.104099,SueEasy,6,15000,USD,135000
37,5cd97e7af03f763b4df1abd3,software,"[-122.103076, 37.431941]",2004,37.431941,-122.103076,Boardwalktech,75,500000,USD,500000
38,5cd97e7af03f763b4df1ac05,software,"[-122.1797053, 37.4520239]",2002,37.4520239,-122.1797053,Medallia,140,35000000,USD,55000000
39,5cd97e7af03f763b4df1ae0b,software,"[-122.0986859, 37.4233698]",2005,37.4233698,-122.0986859,Punch Entertainment,60,1200000,USD,1200000
40,5cd97e7af03f763b4df1acbc,web,"[-122.182824, 37.452011]",2007,37.452011,-122.182824,Birdpost,4,350000,USD,350000
41,5cd97e7af03f763b4df1aa1f,mobile,"[-122.18676, 37.451026]",2005,37.451026,-122.18676,Jaxtr,30,1500000,USD,21500000
